rho,delta,beta,alpha,mmse,mse_ridge_opt,alpha_LR
0.05,0.0,1.0,0.0,1.0,1.0,0.0
0.05,0.0,1.0,0.0001,0.9999021566432564,0.9999,0.001
0.05,0.0,1.0,0.0002,0.9998000165277191,0.9998,0.002
0.05,0.0,1.0,0.00030000000000000003,0.9997015339998956,0.9997,0.003
0.05,0.0,1.0,0.0004,0.9996001981643273,0.9996,0.004
0.05,0.0,1.0,0.0005,0.9994998397919725,0.9995,0.005
0.05,0.0,1.0,0.0006000000000000001,0.9994031442489063,0.9994,0.006
0.05,0.0,1.0,0.0007000000000000001,0.9992999714685117,0.9993,0.007
0.05,0.0,1.0,0.0008,0.9991978430534323,0.9992,0.008
0.05,0.0,1.0,0.0009,0.9991008543364548,0.9991,0.009
0.05,0.0,1.0,0.001,0.9999108641422805,0.999,0.01
0.05,0.0,1.0,0.0011,0.9988951344360937,0.9989,0.011
0.05,0.0,1.0,0.0012000000000000001,0.9987934992271187,0.9988,0.012
0.05,0.0,1.0,0.0013,0.9986923073014208,0.9987,0.013
0.05,0.0,1.0,0.0014000000000000002,0.9985972082146636,0.9986,0.014
0.05,0.0,1.0,0.0015,0.9984973386114405,0.9985,0.015
0.05,0.0,1.0,0.0016,0.9983969483757338,0.9984,0.016
0.05,0.0,1.0,0.0017000000000000001,0.9982955524954861,0.9983,0.017
0.05,0.0,1.0,0.0018,0.9981972410036899,0.9982,0.018
0.05,0.0,1.0,0.0019,0.9980973078160218,0.9981,0.019
0.05,0.0,1.0,0.002,0.9979970294312783,0.998,0.02
0.05,0.0,1.0,0.0021000000000000003,0.9978972497468888,0.9979,0.021
0.05,0.0,1.0,0.0022,0.997796261025584,0.9978,0.022
0.05,0.0,1.0,0.0023,0.9977175798653247,0.9977,0.023
0.05,0.0,1.0,0.0024000000000000002,0.9975946471592769,0.9976,0.024
0.05,0.0,1.0,0.0025000000000000005,0.9974929951949737,0.9975,0.025
0.05,0.0,1.0,0.0026,0.9973925136192483,0.9974,0.026
0.05,0.0,1.0,0.0027,0.9972922772192381,0.9973,0.027
0.05,0.0,1.0,0.0028000000000000004,0.9971915025527828,0.9972,0.028
0.05,0.0,1.0,0.0029000000000000002,0.99709067493318,0.9971,0.029
0.05,0.0,1.0,0.003,0.9969894354741546,0.997,0.03
0.05,0.0,1.0,0.0031000000000000003,0.9968886669129872,0.9969,0.031
0.05,0.0,1.0,0.0032,0.9967865481222271,0.9968,0.032
0.05,0.0,1.0,0.0033000000000000004,0.9966860543724647,0.9967,0.033
0.05,0.0,1.0,0.0034000000000000002,0.9965843846659025,0.9966,0.034
0.05,0.0,1.0,0.0035000000000000005,0.9964829956596012,0.9965,0.035
0.05,0.0,1.0,0.0036,0.996381634147189,0.9964,0.036
0.05,0.0,1.0,0.0037,0.996271837563062,0.9963,0.037
0.05,0.0,1.0,0.0038,0.9961760142335168,0.9962,0.038
0.05,0.0,1.0,0.0039000000000000003,0.9960765287464954,0.9961,0.039
0.05,0.0,1.0,0.004,0.9959740049562074,0.996,0.04
0.05,0.0,1.0,0.0041,0.995870039165927,0.9959,0.041
0.05,0.0,1.0,0.004200000000000001,0.9957700110265596,0.9958,0.042
0.05,0.0,1.0,0.0043,0.9956683652187197,0.9957,0.043
0.05,0.0,1.0,0.0044,0.9955641036561711,0.9956,0.044
0.05,0.0,1.0,0.0045,0.9954635815619783,0.9955,0.045
0.05,0.0,1.0,0.0046,0.9953608876958052,0.9954,0.046
0.05,0.0,1.0,0.0047,0.9952583967769797,0.9953,0.047
0.05,0.0,1.0,0.0048000000000000004,0.9951559188971978,0.9952,0.048
0.05,0.0,1.0,0.004900000000000001,0.9950533869175063,0.9951,0.049
0.05,0.0,1.0,0.005000000000000001,0.9949492301332539,0.995,0.05
0.05,0.0,1.0,0.0051,0.9948469948422122,0.9949,0.051
0.05,0.0,1.0,0.0052,0.9947438768912519,0.9948,0.052
0.05,0.0,1.0,0.0053,0.9946393237840353,0.9947,0.053
0.05,0.0,1.0,0.0054,0.994537080869508,0.9946,0.054
0.05,0.0,1.0,0.0055000000000000005,0.9944332384982364,0.9945,0.055
0.05,0.0,1.0,0.005600000000000001,0.9943298330545619,0.9944,0.056
0.05,0.0,1.0,0.0057,0.9942256881778917,0.9943,0.057
0.05,0.0,1.0,0.0058000000000000005,0.994121899264568,0.9942,0.058
0.05,0.0,1.0,0.0059,0.9940169598119177,0.9941,0.059
0.05,0.0,1.0,0.006,0.9939132383568491,0.994,0.06
0.05,0.0,1.0,0.0061,0.9938086979761189,0.9939,0.061
0.05,0.0,1.0,0.006200000000000001,0.9937041412624723,0.9938,0.062
0.05,0.0,1.0,0.0063,0.9935991022574433,0.9937,0.063
0.05,0.0,1.0,0.0064,0.9934945115567195,0.9936,0.064
0.05,0.0,1.0,0.006500000000000001,0.9933892889837078,0.9935,0.065
0.05,0.0,1.0,0.006600000000000001,0.9932835087738698,0.9934,0.066
0.05,0.0,1.0,0.006700000000000001,0.9931788265226165,0.9933,0.067
0.05,0.0,1.0,0.0068000000000000005,0.9930734545927342,0.9932,0.068
0.05,0.0,1.0,0.006900000000000001,0.992966670847095,0.9931,0.069
0.05,0.0,1.0,0.007000000000000001,0.992861828173738,0.993,0.07
0.05,0.0,1.0,0.0070999999999999995,0.9927555349266936,0.9929,0.071
0.05,0.0,1.0,0.0072,0.9926489341605463,0.9928,0.072
0.05,0.0,1.0,0.0073,0.9925427265174502,0.9927,0.073
0.05,0.0,1.0,0.0074,0.9924361169697181,0.9926,0.074
0.05,0.0,1.0,0.0075,0.992329288231576,0.9925,0.075
0.05,0.0,1.0,0.0076,0.9922223771693343,0.9924,0.076
0.05,0.0,1.0,0.0077,0.992115241641439,0.9923,0.077
0.05,0.0,1.0,0.0078000000000000005,0.9920078712792704,0.9922,0.078
0.05,0.0,1.0,0.0079,0.9919000400383803,0.9921,0.079
0.05,0.0,1.0,0.008,0.9917923616563509,0.992,0.08
0.05,0.0,1.0,0.008100000000000001,0.9916844572742961,0.9919,0.081
0.05,0.0,1.0,0.0082,0.9915762743484244,0.9918,0.082
0.05,0.0,1.0,0.0083,0.9914677608344554,0.9917,0.083
0.05,0.0,1.0,0.008400000000000001,0.9913592131860108,0.9916,0.084
0.05,0.0,1.0,0.0085,0.9912504725385577,0.9915,0.085
0.05,0.0,1.0,0.0086,0.9911414705247694,0.9914,0.086
0.05,0.0,1.0,0.0087,0.9910322089074913,0.9913,0.087
0.05,0.0,1.0,0.0088,0.9909226915933753,0.9912,0.088
0.05,0.0,1.0,0.0089,0.9908129117859593,0.9911,0.089
0.05,0.0,1.0,0.009,0.9907028870159056,0.991,0.09
0.05,0.0,1.0,0.0091,0.9905925411034584,0.9909,0.091
0.05,0.0,1.0,0.0092,0.9904807363902821,0.9908,0.092
0.05,0.0,1.0,0.009300000000000001,0.9903719235413373,0.9907,0.093
0.05,0.0,1.0,0.0094,0.9902608075318287,0.9906,0.094
0.05,0.0,1.0,0.009500000000000001,0.9901495479577217,0.9905,0.095
0.05,0.0,1.0,0.009600000000000001,0.9900383285823835,0.9904,0.096
0.05,0.0,1.0,0.0097,0.9899266952538173,0.9903,0.097
0.05,0.0,1.0,0.009800000000000001,0.9898147710182132,0.9902,0.098
0.05,0.0,1.0,0.0099,0.9897026237296428,0.9901,0.099
0.05,0.0,1.0,0.010000000000000002,0.9895897611285679,0.99,0.1
0.05,0.0,1.0,0.010100000000000001,0.9894773460469195,0.9899,0.101
0.05,0.0,1.0,0.0102,0.9893646996239839,0.9898,0.102
0.05,0.0,1.0,0.0103,0.989251424631055,0.9897,0.103
0.05,0.0,1.0,0.0104,0.9891361757987223,0.9896,0.104
0.05,0.0,1.0,0.0105,0.989024152773352,0.9895,0.105
0.05,0.0,1.0,0.0106,0.9889097611994605,0.9894,0.106
0.05,0.0,1.0,0.010700000000000001,0.98879589576222,0.9893,0.107
0.05,0.0,1.0,0.0108,0.9886796255451953,0.9892,0.108
0.05,0.0,1.0,0.0109,0.9885663642257498,0.9891,0.109
0.05,0.0,1.0,0.011000000000000001,0.9884511143851716,0.989,0.11
0.05,0.0,1.0,0.0111,0.9883356772110239,0.9889,0.111
0.05,0.0,1.0,0.011200000000000002,0.988220104333513,0.9888,0.112
