rho,delta,beta,alpha,mmse,mse_ridge_opt,alpha_LR
0.1,0.0,1.0,0.0,1.0,1.0,0.0
0.2,0.0,1.0,0.0,1.0,1.0,0.0
0.5,0.0,1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,0.0,1.0,1.0,0.0
2.0,0.0,1.0,0.0,1.0,1.0,0.0
0.1,0.0,1.0,0.001,0.9999082305534195,0.999,0.005
0.2,0.0,1.0,0.002,0.9980000997770949,0.998,0.005
0.5,0.0,1.0,0.005,0.9950001471954825,0.995,0.005
1.0,0.0,1.0,0.01,0.9899988912299955,0.99,0.005
2.0,0.0,1.0,0.02,0.979998085219167,0.98,0.005
0.1,0.0,1.0,0.002,0.9979994748138593,0.998,0.01
0.2,0.0,1.0,0.004,0.9959982252778177,0.996,0.01
0.5,0.0,1.0,0.01,0.9899960560425473,0.99,0.01
1.0,0.0,1.0,0.02,0.9799922196520807,0.98,0.01
2.0,0.0,1.0,0.04,0.9599847628460731,0.96,0.01
0.1,0.0,1.0,0.003,0.9969977408927813,0.997,0.015
0.2,0.0,1.0,0.006,0.9939949235767666,0.994,0.015
0.5,0.0,1.0,0.015,0.9849866738083709,0.985,0.015
1.0,0.0,1.0,0.03,0.9699739112109065,0.97,0.015
2.0,0.0,1.0,0.06,0.9399492711640172,0.94,0.015
0.1,0.0,1.0,0.004,0.9959933461247862,0.996,0.02
0.2,0.0,1.0,0.008,0.9919874340800645,0.992,0.02
0.5,0.0,1.0,0.02,0.9799688426738367,0.98,0.02
1.0,0.0,1.0,0.04,0.9599387616150109,0.96,0.02
2.0,0.0,1.0,0.08,0.9198829239264572,0.92,0.02
0.1,0.0,1.0,0.005000000000000001,0.9949878680956109,0.995,0.025
0.2,0.0,1.0,0.010000000000000002,0.9899753834808702,0.99,0.025
0.5,0.0,1.0,0.025,0.9749391833513886,0.975,0.025
1.0,0.0,1.0,0.05,0.9498817120377773,0.95,0.025
