rho,delta,beta,alpha,mmse,mse_ridge_opt,alpha_LR
0.05,0.0,1.0,0.0,1.0,1.0,0.0
0.05,0.0,1.0,0.001,0.9999108641422805,0.999,0.01
0.05,0.0,1.0,0.002,0.9979970294312783,0.998,0.02
0.05,0.0,1.0,0.003,0.9969894354741546,0.997,0.03
0.05,0.0,1.0,0.004,0.9959740049562074,0.996,0.04
0.05,0.0,1.0,0.005,0.994949230133197,0.995,0.049999999999999996
0.05,0.0,1.0,0.006,0.9939132383568491,0.994,0.06
0.05,0.0,1.0,0.007,0.992861828173681,0.993,0.06999999999999999
0.05,0.0,1.0,0.008,0.9917923616563509,0.992,0.08
0.05,0.0,1.0,0.009,0.9907028870159056,0.991,0.08999999999999998
0.05,0.0,1.0,0.01,0.9895897611285964,0.99,0.09999999999999999
0.05,0.0,1.0,0.011,0.9884511143851571,0.989,0.10999999999999999
0.05,0.0,1.0,0.012,0.9872828347179536,0.988,0.12
0.05,0.0,1.0,0.013,0.9860811423026978,0.987,0.12999999999999998
0.05,0.0,1.0,0.014,0.9848431426812109,0.986,0.13999999999999999
0.05,0.0,1.0,0.015,0.9835648640441063,0.985,0.15
0.05,0.0,1.0,0.016,0.982242621444175,0.984,0.16
0.05,0.0,1.0,0.017,0.9808715634604129,0.983,0.17
0.05,0.0,1.0,0.018,0.9794476228984519,0.982,0.17999999999999997
0.05,0.0,1.0,0.019,0.9779660973274346,0.981,0.18999999999999997
0.05,0.0,1.0,0.02,0.9764221918258782,0.98,0.19999999999999998
0.05,0.0,1.0,0.021,0.9748103817380396,0.979,0.21
0.05,0.0,1.0,0.022,0.9731254973404201,0.978,0.21999999999999997
0.05,0.0,1.0,0.023,0.9713619356940646,0.977,0.22999999999999998
0.05,0.0,1.0,0.024,0.9695138080658788,0.976,0.24
0.05,0.0,1.0,0.025,0.9675754740822211,0.975,0.25
0.05,0.0,1.0,0.026,0.9655398284289064,0.974,0.25999999999999995
0.05,0.0,1.0,0.027,0.9634029033491166,0.973,0.26999999999999996
0.05,0.0,1.0,0.028,0.9611563768862683,0.972,0.27999999999999997
0.05,0.0,1.0,0.029,0.9587934350053854,0.971,0.29
0.05,0.0,1.0,0.03,0.9563117752432935,0.97,0.3
0.05,0.0,1.0,0.031,0.9537013792123661,0.969,0.31
0.05,0.0,1.0,0.032,0.9509573459126333,0.968,0.32
0.05,0.0,1.0,0.033,0.9480622046841856,0.967,0.33
0.05,0.0,1.0,0.034,0.9450450783344871,0.966,0.34
0.05,0.0,1.0,0.035,0.9418653256695596,0.965,0.35000000000000003
0.05,0.0,1.0,0.036,0.9385292486492012,0.964,0.35999999999999993
0.05,0.0,1.0,0.037,0.935031233048953,0.963,0.36999999999999994
0.05,0.0,1.0,0.038,0.9313664063832453,0.962,0.37999999999999995
0.05,0.0,1.0,0.039,0.9275296952568225,0.961,0.38999999999999996
0.05,0.0,1.0,0.04,0.9235162591783128,0.96,0.39999999999999997
0.05,0.0,1.0,0.041,0.9193212159696535,0.959,0.41
0.05,0.0,1.0,0.042,0.9149400019734679,0.958,0.42
0.05,0.0,1.0,0.043,0.9103683287639956,0.957,0.42999999999999994
0.05,0.0,1.0,0.044,0.9056013675508715,0.956,0.43999999999999995
0.05,0.0,1.0,0.045,0.900634723228021,0.955,0.44999999999999996
0.05,0.0,1.0,0.046,0.8954637131772375,0.954,0.45999999999999996
0.05,0.0,1.0,0.047,0.8900843634876585,0.953,0.47
0.05,0.0,1.0,0.048,0.8844914319744215,0.952,0.48
0.05,0.0,1.0,0.049,0.8786803465776506,0.951,0.49
0.05,0.0,1.0,0.05,0.8726461791572202,0.95,0.5
0.05,0.0,1.0,0.051,0.8663837986003512,0.949,0.5099999999999999
0.05,0.0,1.0,0.052,0.8598876499636723,0.948,0.5199999999999999
0.05,0.0,1.0,0.053,0.8531520488296305,0.947,0.5299999999999999
0.05,0.0,1.0,0.054,0.8461706392213674,0.946,0.5399999999999999
0.05,0.0,1.0,0.055,0.8389370568560349,0.945,0.5499999999999999
0.05,0.0,1.0,0.056,0.8314439965321636,0.944,0.5599999999999999
0.05,0.0,1.0,0.057,0.8236836441125982,0.943,0.57
0.05,0.0,1.0,0.058,0.8156475351948352,0.942,0.58
0.05,0.0,1.0,0.059,0.8073262291529503,0.9410000000000001,0.59
0.05,0.0,1.0,0.06,0.7987095122187118,0.94,0.6
0.05,0.0,1.0,0.061,0.7897859168489402,0.9390000000000001,0.61
0.05,0.0,1.0,0.062,0.7805423337446404,0.938,0.62
0.05,0.0,1.0,0.063,0.7709656278327501,0.937,0.63
0.05,0.0,1.0,0.064,0.7610387127983108,0.9359999999999999,0.64
0.05,0.0,1.0,0.065,0.7507438502756207,0.935,0.65
0.05,0.0,1.0,0.066,0.7400604904984951,0.9339999999999999,0.66
0.05,0.0,1.0,0.067,0.7289653537264109,0.933,0.67
0.05,0.0,1.0,0.068,0.7174315344754659,0.9319999999999999,0.68
0.05,0.0,1.0,0.069,0.705428404826808,0.931,0.6900000000000001
0.05,0.0,1.0,0.07,0.6929197410812074,0.9299999999999999,0.7000000000000001
0.05,0.0,1.0,0.071,0.6798637110174184,0.929,0.7099999999999999
0.05,0.0,1.0,0.072,0.6662111676420833,0.928,0.7199999999999999
0.05,0.0,1.0,0.073,0.6519039528607783,0.927,0.7299999999999999
0.05,0.0,1.0,0.074,0.6368733264399203,0.926,0.7399999999999999
0.05,0.0,1.0,0.075,0.6210371719509946,0.925,0.7499999999999999
0.05,0.0,1.0,0.076,0.6042989373988932,0.924,0.7599999999999999
0.05,0.0,1.0,0.077,0.5865474040450487,0.923,0.7699999999999999
0.05,0.0,1.0,0.078,0.56766339414616,0.922,0.7799999999999999
0.05,0.0,1.0,0.079,0.5475565454006542,0.921,0.7899999999999999
0.05,0.0,1.0,0.08,0.5262918933968815,0.92,0.7999999999999999
0.05,0.0,1.0,0.081,0.5039713488346544,0.919,0.8099999999999999
0.05,0.0,1.0,0.082,0.4806405264244684,0.918,0.82
0.05,0.0,1.0,0.083,0.45632805622416084,0.917,0.83
0.05,0.0,1.0,0.084,0.4310538966736862,0.916,0.84
0.05,0.0,1.0,0.085,0.4048332402405105,0.915,0.85
0.05,0.0,1.0,0.086,0.3776772766149692,0.914,0.8599999999999999
0.05,0.0,1.0,0.087,0.34959614259669824,0.913,0.8699999999999999
0.05,0.0,1.0,0.088,0.3205961020664705,0.912,0.8799999999999999
0.05,0.0,1.0,0.089,0.2906835478903034,0.911,0.8899999999999999
0.05,0.0,1.0,0.09,0.25986292888213547,0.91,0.8999999999999999
0.05,0.0,1.0,0.091,0.2281378441738101,0.909,0.9099999999999999
0.05,0.0,1.0,0.092,0.1955111326370954,0.908,0.9199999999999999
0.05,0.0,1.0,0.093,0.16198471553880867,0.907,0.9299999999999999
0.05,0.0,1.0,0.094,0.12755979793090844,0.906,0.94
0.05,0.0,1.0,0.095,0.09223985905713694,0.905,0.95
0.05,0.0,1.0,0.096,0.05601654870799022,0.904,0.96
0.05,0.0,1.0,0.097,0.018897367857493297,0.903,0.97
0.05,0.0,1.0,0.098,0.0,0.902,0.98
0.05,0.0,1.0,0.099,0.0,0.901,0.99
0.05,0.0,1.0,0.1,0.0,0.9,1.0
0.05,0.0,1.0,0.101,0.0,0.899,1.01
