rho,delta,beta,alpha,mmse,mse_ridge_opt,alpha_LR
0.1,0.0,5.0,0.0,1.0,1.0,0.0
0.2,0.0,5.0,0.0,1.0,1.0,0.0
0.5,0.0,5.0,0.0,1.0,1.0,0.0
1.0,0.0,5.0,0.0,1.0,1.0,0.0
2.0,0.0,5.0,0.0,1.0,1.0,0.0
0.1,0.0,5.0,0.005,0.9949374064885699,0.995,0.041666666666666664
0.2,0.0,5.0,0.005,0.9949846848237578,0.995,0.020833333333333332
0.5,0.0,5.0,0.005,0.9949977798070708,0.995,0.008333333333333333
1.0,0.0,5.0,0.005,0.9949996459466937,0.995,0.004166666666666667
2.0,0.0,5.0,0.005,0.9950001123534604,0.995,0.0020833333333333333
0.1,0.0,5.0,0.01,0.9894838917281163,0.99,0.08333333333333333
0.2,0.0,5.0,0.01,0.9898753496523751,0.99,0.041666666666666664
0.5,0.0,5.0,0.01,0.9899803909401179,0.99,0.016666666666666666
1.0,0.0,5.0,0.01,0.989995256395217,0.99,0.008333333333333333
2.0,0.0,5.0,0.01,0.9899989686947591,0.99,0.004166666666666667
0.1,0.0,5.0,0.015,0.9831771291459831,0.985,0.12499999999999999
0.2,0.0,5.0,0.015,0.9845764563364869,0.985,0.06249999999999999
0.5,0.0,5.0,0.015,0.9849335951840231,0.985,0.024999999999999998
1.0,0.0,5.0,0.015,0.9849835664154527,0.985,0.012499999999999999
2.0,0.0,5.0,0.015,0.9849960296778033,0.985,0.0062499999999999995
0.1,0.0,5.0,0.02,0.9754110518068122,0.98,0.16666666666666666
0.2,0.0,5.0,0.02,0.9789869834663815,0.98,0.08333333333333333
0.5,0.0,5.0,0.02,0.9798429692460361,0.98,0.03333333333333333
1.0,0.0,5.0,0.02,0.9799609848408768,0.98,0.016666666666666666
2.0,0.0,5.0,0.02,0.9799903700242586,0.98,0.008333333333333333
0.1,0.0,5.0,0.025,0.965407274180626,0.975,0.20833333333333331
0.2,0.0,5.0,0.025,0.972998979470435,0.975,0.10416666666666666
0.5,0.0,5.0,0.025,0.974694355829104,0.975,0.041666666666666664
1.0,0.0,5.0,0.025,0.9749240479053918,0.975,0.020833333333333332
2.0,0.0,5.0,0.025,0.9749811270240172,0.975,0.010416666666666666
0.1,0.0,5.0,0.03,0.9522949028823962,0.97,0.24999999999999997
0.2,0.0,5.0,0.03,0.9664976937145641,0.97,0.12499999999999999
