rho,delta,beta,alpha,mmse,mse_ridge_opt,alpha_LR
0.05,0.0,Inf,0.0,1.0,1.0,0.0
0.05,0.0,Inf,0.001,0.9790199999977178,0.999,0.02
0.05,0.0,Inf,0.002,0.9580799999998135,0.998,0.04
0.05,0.0,Inf,0.003,0.9371800000003254,0.997,0.06
0.05,0.0,Inf,0.004,0.9163199999999586,0.996,0.08
0.05,0.0,Inf,0.005,0.8955000000000727,0.995,0.09999999999999999
0.05,0.0,Inf,0.006,0.874720000000129,0.994,0.12
0.05,0.0,Inf,0.007,0.8539800000000385,0.993,0.13999999999999999
0.05,0.0,Inf,0.008,0.8332800000000338,0.992,0.16
0.05,0.0,Inf,0.009,0.8126200000000006,0.991,0.17999999999999997
0.05,0.0,Inf,0.01,0.7919999999999907,0.99,0.19999999999999998
0.05,0.0,Inf,0.011,0.7714199999999628,0.989,0.21999999999999997
0.05,0.0,Inf,0.012,0.75088000000001,0.988,0.24
0.05,0.0,Inf,0.013,0.7303799999999947,0.987,0.25999999999999995
0.05,0.0,Inf,0.014,0.7099199999999919,0.986,0.27999999999999997
0.05,0.0,Inf,0.015,0.6894999999999998,0.985,0.3
0.05,0.0,Inf,0.016,0.6691199999999969,0.984,0.32
0.05,0.0,Inf,0.017,0.6487799999999886,0.983,0.34
0.05,0.0,Inf,0.018,0.6284799999999968,0.982,0.35999999999999993
0.05,0.0,Inf,0.019,0.6082200000000084,0.981,0.37999999999999995
0.05,0.0,Inf,0.02,0.588000000000002,0.98,0.39999999999999997
0.05,0.0,Inf,0.021,0.5678200000000029,0.979,0.42
0.05,0.0,Inf,0.022,0.5476799999999991,0.978,0.43999999999999995
0.05,0.0,Inf,0.023,0.5275800000000013,0.977,0.45999999999999996
0.05,0.0,Inf,0.024,0.507520000000003,0.976,0.48
0.05,0.0,Inf,0.025,0.48750000000000515,0.975,0.5
0.05,0.0,Inf,0.026,0.4675199999999944,0.974,0.5199999999999999
0.05,0.0,Inf,0.027,0.4475799999999972,0.973,0.5399999999999999
0.05,0.0,Inf,0.028,0.42768000000000816,0.972,0.5599999999999999
0.05,0.0,Inf,0.029,0.4078200000000006,0.971,0.58
0.05,0.0,Inf,0.03,0.38799999999999857,0.97,0.6
0.05,0.0,Inf,0.031,0.36821999999999944,0.969,0.62
0.05,0.0,Inf,0.032,0.3484800000000011,0.968,0.64
0.05,0.0,Inf,0.033,0.3287799999999972,0.967,0.66
0.05,0.0,Inf,0.034,0.30911999999999795,0.966,0.68
0.05,0.0,Inf,0.035,0.28949999999999776,0.965,0.7000000000000001
0.05,0.0,Inf,0.036,0.2699200000000026,0.964,0.7199999999999999
0.05,0.0,Inf,0.037,0.2503800000000017,0.963,0.7399999999999999
0.05,0.0,Inf,0.038,0.2308800000000013,0.962,0.7599999999999999
0.05,0.0,Inf,0.039,0.21142000000000238,0.961,0.7799999999999999
0.05,0.0,Inf,0.04,0.19199999999999917,0.96,0.7999999999999999
0.05,0.0,Inf,0.041,0.17262000000000122,0.959,0.82
0.05,0.0,Inf,0.042,0.15328000000000086,0.958,0.84
0.05,0.0,Inf,0.043,0.13398000000000254,0.957,0.8599999999999999
0.05,0.0,Inf,0.044,0.11472000000000071,0.956,0.8799999999999999
0.05,0.0,Inf,0.045,0.09550000000000314,0.955,0.8999999999999999
0.05,0.0,Inf,0.046,0.07631999999999928,0.954,0.9199999999999999
0.05,0.0,Inf,0.047,0.057179999999999565,0.953,0.94
0.05,0.0,Inf,0.048,0.03808000000000089,0.952,0.96
0.05,0.0,Inf,0.049,0.01902000000000048,0.951,0.98
0.05,0.0,Inf,0.05,2.0564854819049572e-8,0.95,1.0
0.05,0.0,Inf,0.051,0.0,0.949,1.0199999999999998
0.05,0.0,Inf,0.052,0.0,0.948,1.0399999999999998
0.05,0.0,Inf,0.053,0.0,0.947,1.0599999999999998
0.05,0.0,Inf,0.054,0.0,0.946,1.0799999999999998
0.05,0.0,Inf,0.055,0.0,0.945,1.0999999999999999
0.05,0.0,Inf,0.056,0.0,0.944,1.1199999999999999
0.05,0.0,Inf,0.057,0.0,0.943,1.14
0.05,0.0,Inf,0.058,0.0,0.942,1.16
0.05,0.0,Inf,0.059,0.0,0.9410000000000001,1.18
0.05,0.0,Inf,0.06,0.0,0.94,1.2
0.05,0.0,Inf,0.061,0.0,0.9390000000000001,1.22
