rho,delta,beta,alpha,mmse,mse_ridge_opt,alpha_LR
0.1,0.0,Inf,0.0,1.0,1.0,0.0
0.1,0.0,Inf,0.005,0.9452500000001166,0.995,0.049999999999999996
0.1,0.0,Inf,0.01,0.8909999999999434,0.99,0.09999999999999999
0.1,0.0,Inf,0.015,0.8372499999999866,0.985,0.15
0.1,0.0,Inf,0.02,0.7840000000000041,0.98,0.19999999999999998
0.1,0.0,Inf,0.025,0.7312500000000046,0.975,0.25
0.1,0.0,Inf,0.03,0.6789999999999973,0.97,0.3
0.1,0.0,Inf,0.035,0.6272499999999956,0.965,0.35000000000000003
0.1,0.0,Inf,0.04,0.5760000000000031,0.96,0.39999999999999997
0.1,0.0,Inf,0.045,0.5252500000000021,0.955,0.44999999999999996
0.1,0.0,Inf,0.05,0.4750000000000023,0.95,0.5
0.1,0.0,Inf,0.055,0.4252499999999988,0.945,0.5499999999999999
0.1,0.0,Inf,0.06,0.37599999999999945,0.94,0.6
0.1,0.0,Inf,0.065,0.32725000000000115,0.935,0.65
0.1,0.0,Inf,0.07,0.2790000000000006,0.9299999999999999,0.7000000000000001
0.1,0.0,Inf,0.075,0.2312499999999995,0.925,0.7499999999999999
0.1,0.0,Inf,0.08,0.18399999999999916,0.92,0.7999999999999999
0.1,0.0,Inf,0.085,0.1372499999999992,0.915,0.85
0.1,0.0,Inf,0.09,0.09099999999999997,0.91,0.8999999999999999
0.1,0.0,Inf,0.095,0.045250000000000234,0.905,0.95
0.1,0.0,Inf,0.1,1.99900008768239e-8,0.9,1.0
0.1,0.0,Inf,0.105,0.0,0.895,1.0499999999999998
0.1,0.0,Inf,0.11,0.0,0.89,1.0999999999999999
0.1,0.0,Inf,0.115,0.0,0.885,1.15
0.1,0.0,Inf,0.12,0.0,0.88,1.2
0.1,0.0,Inf,0.125,0.0,0.875,1.25
0.1,0.0,Inf,0.13,0.0,0.87,1.3
0.1,0.0,Inf,0.135,0.0,0.865,1.35
0.1,0.0,Inf,0.14,0.0,0.86,1.4000000000000001
0.1,0.0,Inf,0.145,0.0,0.855,1.4499999999999997
0.1,0.0,Inf,0.15,0.0,0.85,1.4999999999999998
0.1,0.0,Inf,0.155,0.0,0.845,1.5499999999999998
0.1,0.0,Inf,0.16,0.0,0.84,1.5999999999999999
0.1,0.0,Inf,0.165,0.0,0.835,1.65
0.1,0.0,Inf,0.17,0.0,0.83,1.7
0.1,0.0,Inf,0.175,0.0,0.825,1.7499999999999998
0.1,0.0,Inf,0.18,0.0,0.8200000000000001,1.7999999999999998
0.1,0.0,Inf,0.185,0.0,0.815,1.8499999999999999
0.1,0.0,Inf,0.19,0.0,0.81,1.9
0.1,0.0,Inf,0.195,0.0,0.8049999999999999,1.95
0.1,0.0,Inf,0.2,0.0,0.8,2.0
0.1,0.0,Inf,0.205,0.0,0.795,2.05
0.1,0.0,Inf,0.21,0.0,0.79,2.0999999999999996
0.1,0.0,Inf,0.215,0.0,0.785,2.15
0.1,0.0,Inf,0.22,0.0,0.78,2.1999999999999997
0.1,0.0,Inf,0.225,0.0,0.775,2.25
0.1,0.0,Inf,0.23,0.0,0.77,2.3
0.1,0.0,Inf,0.235,0.0,0.765,2.3499999999999996
0.1,0.0,Inf,0.24,0.0,0.76,2.4
0.1,0.0,Inf,0.245,0.0,0.755,2.4499999999999997
0.1,0.0,Inf,0.25,0.0,0.75,2.5
0.1,0.0,Inf,0.255,0.0,0.745,2.55
0.1,0.0,Inf,0.26,0.0,0.74,2.6
0.1,0.0,Inf,0.265,0.0,0.735,2.65
0.1,0.0,Inf,0.27,0.0,0.73,2.7
0.1,0.0,Inf,0.275,0.0,0.725,2.75
0.1,0.0,Inf,0.28,0.0,0.72,2.8000000000000003
0.1,0.0,Inf,0.285,0.0,0.7150000000000001,2.8499999999999996
0.1,0.0,Inf,0.29,0.0,0.71,2.8999999999999995
0.1,0.0,Inf,0.295,0.0,0.7050000000000001,2.9499999999999997
0.1,0.0,Inf,0.3,0.0,0.7,2.9999999999999996
0.1,0.0,Inf,0.305,0.0,0.6950000000000001,3.05
0.1,0.0,Inf,0.31,0.0,0.69,3.0999999999999996
0.1,0.0,Inf,0.315,0.0,0.685,3.15
0.1,0.0,Inf,0.32,0.0,0.6799999999999999,3.1999999999999997
0.1,0.0,Inf,0.325,0.0,0.675,3.25
0.1,0.0,Inf,0.33,0.0,0.6699999999999999,3.3
0.1,0.0,Inf,0.335,0.0,0.665,3.35
0.1,0.0,Inf,0.34,0.0,0.6599999999999999,3.4
0.1,0.0,Inf,0.345,0.0,0.655,3.4499999999999997
0.1,0.0,Inf,0.35,0.0,0.65,3.4999999999999996
0.1,0.0,Inf,0.355,0.0,0.645,3.55
0.1,0.0,Inf,0.36,0.0,0.64,3.5999999999999996
0.1,0.0,Inf,0.365,0.0,0.635,3.65
0.1,0.0,Inf,0.37,0.0,0.63,3.6999999999999997
0.1,0.0,Inf,0.375,0.0,0.625,3.75
0.1,0.0,Inf,0.38,0.0,0.62,3.8
0.1,0.0,Inf,0.385,0.0,0.615,3.85
0.1,0.0,Inf,0.39,0.0,0.61,3.9
0.1,0.0,Inf,0.395,0.0,0.605,3.95
0.1,0.0,Inf,0.4,0.0,0.6,4.0
0.1,0.0,Inf,0.405,0.0,0.595,4.05
0.1,0.0,Inf,0.41,0.0,0.5900000000000001,4.1
0.1,0.0,Inf,0.415,0.0,0.585,4.1499999999999995
0.1,0.0,Inf,0.42,0.0,0.5800000000000001,4.199999999999999
0.1,0.0,Inf,0.425,0.0,0.575,4.25
