rho,delta,beta,alpha,mmse,mse_ridge_opt
0.05,0.1,5.0,0.0,1.0,1.0
0.05,0.1,5.0,0.02,0.9613279542752577,0.9818486873657627
0.05,0.1,5.0,0.04,0.7239536824454482,0.9637602458033007
0.05,0.1,5.0,0.06,0.36296469925437935,0.9457375771237966
0.05,0.1,5.0,0.08,0.19263207302574792,0.9277837386399848
0.05,0.1,5.0,0.1,0.12261852272268892,0.9099019513592785
0.05,0.1,5.0,0.12,0.08835519062072872,0.8920956084253278
0.05,0.1,5.0,0.14,0.06866390832595215,0.874368283772331
0.05,0.1,5.0,0.16,0.0560215729628073,0.8567237409455183
0.05,0.1,5.0,0.18,0.04726000367221905,0.8391659420284376
0.05,0.1,5.0,0.2,0.04084528749687821,0.8216990566028302
0.05,0.1,5.0,0.22,0.035952188439049015,0.8043274706497561
0.05,0.1,5.0,0.24,0.03209966222961058,0.7870557952810575
0.05,0.1,5.0,0.26,0.0289891079248078,0.7698888751680797
0.05,0.1,5.0,0.28,0.02642594817682198,0.7528317965096906
0.05,0.1,5.0,0.3,0.024277735909849274,0.7358898943540674
0.05,0.1,5.0,0.32,0.022451552332292013,0.7190687590584988
0.05,0.1,5.0,0.34,0.020880215195289487,0.7023742416388575
0.05,0.1,5.0,0.36,0.01951396997947552,0.6858124577258358
0.05,0.1,5.0,0.38,0.01831520530202524,0.6693897898091744
0.05,0.1,5.0,0.4,0.017254939800965485,0.6531128874149275
0.05,0.1,5.0,0.42,0.016310547310294354,0.6369886648255842
0.05,0.1,5.0,0.44,0.015464009749880936,0.6210242959203431
0.05,0.1,5.0,0.46,0.014700913278080874,0.6052272056851644
0.05,0.1,5.0,0.48,0.014009498876967674,0.5896050579220461
0.05,0.1,5.0,0.5,0.01338013248905301,0.5741657386773942
0.05,0.1,5.0,0.52,0.012804828815973224,0.5589173349139344
0.05,0.1,5.0,0.54,0.012276916506340219,0.5438681079732051
0.05,0.1,5.0,0.56,0.011790773414408484,0.5290264614203248
0.05,0.1,5.0,0.58,0.011341635937302308,0.5144009029333871
0.05,0.1,5.0,0.6,0.010925437480326372,0.5000000000000001
0.05,0.1,5.0,0.62,0.01053868280594461,0.48583232931581166
0.05,0.1,5.0,0.64,0.010178357858460552,0.47190641994557514
0.05,0.1,5.0,0.66,0.009841844135386024,0.45823069050575527
0.05,0.1,5.0,0.68,0.009526857215270246,0.44481338085566413
0.05,0.1,5.0,0.7,0.009231397050366352,0.4316624790355401
0.05,0.1,5.0,0.72,0.008953704194100132,0.41878564445547206
0.05,0.1,5.0,0.74,0.008692223502272833,0.4061901286060018
0.05,0.1,5.0,0.76,0.00844557428131254,0.39388269481403293
0.05,0.1,5.0,0.78,0.008212531409095836,0.3818695387886216
0.05,0.1,5.0,0.8,0.007991996096258669,0.3701562118716425
