rho,delta,beta,alpha,mmse,mse_ridge_opt,alpha_LR
0.05,0.1,1.0,0.0,1.0,1.0,0.0
0.05,0.1,1.0,0.0004,0.99963447312603,0.9996363756609778,0.004
0.05,0.1,1.0,0.0008,0.9992731604250092,0.9992727753855015,0.008
0.05,0.1,1.0,0.0012000000000000001,0.9989087756505387,0.9989091991950635,0.012
0.05,0.1,1.0,0.0016,0.9985397041011065,0.998545647111179,0.016
0.05,0.1,1.0,0.002,0.9981801058095138,0.9981821191553855,0.02
0.05,0.1,1.0,0.0024000000000000002,0.9978149355081029,0.997818615349243,0.024
0.05,0.1,1.0,0.0028000000000000004,0.9974485887096279,0.997455135714334,0.028
0.05,0.1,1.0,0.0032,0.997080906158862,0.9970916802722637,0.032
0.05,0.1,1.0,0.0036,0.9967147265769107,0.9967282490446595,0.036
0.05,0.1,1.0,0.004,0.9963459747517799,0.9963648420531718,0.04
0.05,0.1,1.0,0.0044,0.9959759267050268,0.9960014593194731,0.044
0.05,0.1,1.0,0.0048000000000000004,0.9956050600533587,0.9956381008652592,0.048
0.05,0.1,1.0,0.0052,0.9952331183427588,0.9952747667122478,0.052
0.05,0.1,1.0,0.005600000000000001,0.9948588100739226,0.9949114568821799,0.056
0.05,0.1,1.0,0.006,0.9944827728391552,0.9945481713968187,0.06
0.05,0.1,1.0,0.0064,0.9941063742219058,0.9941849102779505,0.064
0.05,0.1,1.0,0.0068000000000000005,0.993726041460949,0.9938216735473843,0.068
0.05,0.1,1.0,0.0072,0.993345805955814,0.9934584612269515,0.072
0.05,0.1,1.0,0.0076,0.9929625172071617,0.9930952733385068,0.076
0.05,0.1,1.0,0.008,0.9925772281506786,0.9927321099039272,0.08
0.05,0.1,1.0,0.008400000000000001,0.9921891776538707,0.9923689709451132,0.084
0.05,0.1,1.0,0.0088,0.9917917134387484,0.9920058564839875,0.088
0.05,0.1,1.0,0.0092,0.9914032986894613,0.9916427665424962,0.092
0.05,0.1,1.0,0.009600000000000001,0.9910101989249627,0.9912797011426079,0.096
0.05,0.1,1.0,0.010000000000000002,0.9906113226979717,0.9909166603063145,0.1
0.05,0.1,1.0,0.0104,0.9902094103892344,0.9905536440556306,0.104
0.05,0.1,1.0,0.0108,0.9898042112540024,0.9901906524125941,0.108
0.05,0.1,1.0,0.011200000000000002,0.9893962680234424,0.9898276853992654,0.112
0.05,0.1,1.0,0.011600000000000001,0.9889847480905363,0.9894647430377285,0.116
0.05,0.1,1.0,0.012,0.9885690715747244,0.98910182535009,0.12
0.05,0.1,1.0,0.012400000000000001,0.9881498608660648,0.98873893235848,0.124
0.05,0.1,1.0,0.0128,0.9877266663602109,0.9883760640850514,0.128
0.05,0.1,1.0,0.013200000000000002,0.987299379879488,0.9880132205519804,0.132
0.05,0.1,1.0,0.013600000000000001,0.986866768284991,0.9876504017814662,0.136
0.05,0.1,1.0,0.014000000000000002,0.9864315820229043,0.9872876077957314,0.14
0.05,0.1,1.0,0.0144,0.9859908301246935,0.9869248386170217,0.144
0.05,0.1,1.0,0.0148,0.9855453361083599,0.9865620942676061,0.148
0.05,0.1,1.0,0.0152,0.9850949018945807,0.9861993747697767,0.152
0.05,0.1,1.0,0.015600000000000001,0.984639294406354,0.9858366801458489,0.156
0.05,0.1,1.0,0.016,0.9841783077956243,0.9854740104181616,0.16
0.05,0.1,1.0,0.0164,0.9837119712898528,0.9851113656090769,0.164
0.05,0.1,1.0,0.016800000000000002,0.9832397744535225,0.9847487457409803,0.168
0.05,0.1,1.0,0.0172,0.982762030030114,0.9843861508362806,0.172
0.05,0.1,1.0,0.0176,0.9822777003680927,0.98402358091741,0.176
0.05,0.1,1.0,0.018,0.9817874651714728,0.9836610360068244,0.18
0.05,0.1,1.0,0.0184,0.9812905318013496,0.9832985161270029,0.184
0.05,0.1,1.0,0.0188,0.9807869172525794,0.982936021300448,0.188
0.05,0.1,1.0,0.019200000000000002,0.9802765670356626,0.982573551549686,0.192
0.05,0.1,1.0,0.019600000000000003,0.9798163650600279,0.9822111068972664,0.196
0.05,0.1,1.0,0.020000000000000004,0.9792339321044033,0.9818486873657627,0.2
0.05,0.1,1.0,0.0204,0.97870133229343,0.9814862929777715,0.204
0.05,0.1,1.0,0.0208,0.9781610188028439,0.9811239237559131,0.208
0.05,0.1,1.0,0.0212,0.9776126539047619,0.9807615797228318,0.212
0.05,0.1,1.0,0.0216,0.9770559850538487,0.9803992609011952,0.216
0.05,0.1,1.0,0.022000000000000002,0.9764908741123439,0.9800369673136947,0.22
0.05,0.1,1.0,0.022400000000000003,0.9759168794506211,0.9796746989830454,0.224
0.05,0.1,1.0,0.0228,0.9753342435033386,0.9793124559319861,0.228
0.05,0.1,1.0,0.023200000000000002,0.9747422571753414,0.9789502381832793,0.232
0.05,0.1,1.0,0.0236,0.9741391771643346,0.9785880457597115,0.236
0.05,0.1,1.0,0.024,0.9735293886641624,0.9782258786840926,0.24
0.05,0.1,1.0,0.0244,0.9729081101649415,0.9778637369792569,0.244
0.05,0.1,1.0,0.024800000000000003,0.9722765506055152,0.9775016206680621,0.248
0.05,0.1,1.0,0.0252,0.9716345146213532,0.9771395297733899,0.252
0.05,0.1,1.0,0.0256,0.9709816658118302,0.9767774643181459,0.256
0.05,0.1,1.0,0.026000000000000002,0.9703178386341706,0.9764154243252597,0.26
0.05,0.1,1.0,0.026400000000000003,0.9696426689239483,0.9760534098176848,0.264
0.05,0.1,1.0,0.026800000000000004,0.9689558409966051,0.9756914208183989,0.268
0.05,0.1,1.0,0.027200000000000002,0.9682572450345843,0.9753294573504031,0.272
