rho,delta,beta,alpha,mmse,mse_ridge_opt,alpha_LR
0.1,0.1,1.0,0.0,1.0,1.0,0.0
0.2,0.1,1.0,0.0,1.0,1.0,0.0
0.5,0.1,1.0,0.0,1.0,1.0,0.0
1.0,0.1,1.0,0.0,1.0,1.0,0.0
2.0,0.1,1.0,0.0,1.0,1.0,0.0
0.1,0.1,1.0,0.004,0.9963606157451839,0.9963648420531718,0.02
0.2,0.1,1.0,0.008,0.9927226209842135,0.9927321099039272,0.02
0.5,0.1,1.0,0.02,0.9818253748456327,0.9818486873657627,0.02
1.0,0.1,1.0,0.04,0.9637146796345522,0.9637602458033007,0.02
2.0,0.1,1.0,0.08,0.9276974481250497,0.9277837386399848,0.02
0.1,0.1,1.0,0.008,0.992693963419748,0.9927321099039272,0.04
0.2,0.1,1.0,0.016,0.9853985528815671,0.9854740104181616,0.04
0.5,0.1,1.0,0.04,0.9635776038900439,0.9637602458033007,0.04
1.0,0.1,1.0,0.08,0.9274393260353639,0.9277837386399848,0.04
2.0,0.1,1.0,0.16,0.8561156442817888,0.8567237409455183,0.04
0.1,0.1,1.0,0.012,0.9889725414759963,0.98910182535009,0.06
0.2,0.1,1.0,0.024,0.9779718427145466,0.9782258786840926,0.06
0.5,0.1,1.0,0.06,0.9451381279457293,0.9457375771237966,0.06
1.0,0.1,1.0,0.12,0.8910064019392873,0.8920956084253278,0.06
2.0,0.1,1.0,0.24,0.7852859299104458,0.7870557952810575,0.06
0.1,0.1,1.0,0.016,0.9851674630960334,0.9854740104181616,0.08
0.2,0.1,1.0,0.032,0.9703910298506216,0.9709878955805242,0.08
0.5,0.1,1.0,0.08,0.9264055640085904,0.9277837386399848,0.08
1.0,0.1,1.0,0.16,0.8543230195207532,0.8567237409455183,0.08
2.0,0.1,1.0,0.32,0.7155284609090662,0.7190687590584988,0.08
0.1,0.1,1.0,0.020000000000000004,0.981248060668629,0.9818486873657627,0.1
0.2,0.1,1.0,0.04000000000000001,0.9626013725573813,0.9637602458033007,0.1
