rho,delta,beta,alpha,mmse,mse_ridge_opt,alpha_LR
0.05,0.1,5.0,0.0,1.0,1.0,0.0
0.05,0.1,5.0,0.00024000000000000003,0.9997808237178376,0.9997818225101641,0.004
0.05,0.1,5.0,0.00048000000000000007,0.9995633899714931,0.9995636536801115,0.008
0.05,0.1,5.0,0.00072,0.9993450678140892,0.9993454935144818,0.012
0.05,0.1,5.0,0.0009600000000000001,0.9991262400821717,0.9991273420179174,0.016
0.05,0.1,5.0,0.0012000000000000001,0.9989068720733014,0.9989091991950635,0.02
0.05,0.1,5.0,0.00144,0.998686865053772,0.9986910650505685,0.024
0.05,0.1,5.0,0.0016800000000000003,0.9984661026006025,0.9984729395890835,0.028
0.05,0.1,5.0,0.0019200000000000003,0.9982444612706065,0.9982548228152623,0.032
0.05,0.1,5.0,0.00216,0.9980218137876473,0.9980367147337622,0.036
0.05,0.1,5.0,0.0024000000000000002,0.99779803010368,0.997818615349243,0.04
0.05,0.1,5.0,0.00264,0.9975729777208054,0.9976005246663674,0.044
0.05,0.1,5.0,0.00288,0.9973465217174322,0.9973824426898011,0.048
0.05,0.1,5.0,0.00312,0.997118524639526,0.9971643694242128,0.052
0.05,0.1,5.0,0.0033600000000000006,0.9968888463273242,0.9969463048742742,0.056
0.05,0.1,5.0,0.0036000000000000003,0.9966573437023836,0.9967282490446595,0.06
0.05,0.1,5.0,0.0038400000000000005,0.996423870533047,0.9965102019400464,0.064
0.05,0.1,5.0,0.00408,0.9961882771825443,0.996292163565115,0.068
0.05,0.1,5.0,0.00432,0.9959504103446141,0.9960741339245487,0.072
0.05,0.1,5.0,0.00456,0.9957101127655226,0.9958561130230337,0.076
0.05,0.1,5.0,0.0048000000000000004,0.9954672229580417,0.9956381008652592,0.08
0.05,0.1,5.0,0.005040000000000001,0.9952215749020252,0.9954200974559172,0.084
0.05,0.1,5.0,0.00528,0.9949729977367593,0.9952021027997027,0.088
0.05,0.1,5.0,0.00552,0.9947213154399497,0.9949841169013137,0.092
0.05,0.1,5.0,0.00576,0.9944663464969651,0.9947661397654511,0.096
0.05,0.1,5.0,0.006000000000000001,0.9942079035573963,0.9945481713968187,0.1
0.05,0.1,5.0,0.00624,0.9939457930799137,0.9943302118001234,0.104
0.05,0.1,5.0,0.00648,0.9936798149636462,0.9941122609800749,0.108
0.05,0.1,5.0,0.006720000000000001,0.9934097621663366,0.9938943189413858,0.112
0.05,0.1,5.0,0.006960000000000001,0.9931354304690937,0.9936763856887718,0.116
0.05,0.1,5.0,0.007200000000000001,0.9928565813480326,0.9934584612269515,0.12
0.05,0.1,5.0,0.00744,0.9925729922126326,0.9932405455606464,0.124
0.05,0.1,5.0,0.007680000000000001,0.9922844246769272,0.9930226386945812,0.128
0.05,0.1,5.0,0.00792,0.9919906314579563,0.992804740633483,0.132
0.05,0.1,5.0,0.00816,0.991691355952197,0.9925868513820826,0.136
0.05,0.1,5.0,0.008400000000000001,0.9913863318068952,0.9923689709451132,0.14
0.05,0.1,5.0,0.00864,0.9910752824877058,0.9921510993273112,0.144
0.05,0.1,5.0,0.00888,0.9907579208454435,0.9919332365334159,0.148
0.05,0.1,5.0,0.00912,0.9904339486838154,0.9917153825681696,0.152
0.05,0.1,5.0,0.00936,0.9901030563314728,0.9914975374363175,0.156
0.05,0.1,5.0,0.009600000000000001,0.989764922220745,0.9912797011426079,0.16
0.05,0.1,5.0,0.009840000000000002,0.9894192124784104,0.9910618736917921,0.164
0.05,0.1,5.0,0.010080000000000002,0.9890655805305062,0.990844055088624,0.168
0.05,0.1,5.0,0.01032,0.9887036667276123,0.9906262453378611,0.172
0.05,0.1,5.0,0.01056,0.9883330979944089,0.9904084444442635,0.176
0.05,0.1,5.0,0.010799999999999999,0.9879534875095997,0.9901906524125941,0.18
0.05,0.1,5.0,0.01104,0.9875644344211268,0.9899728692476191,0.184
0.05,0.1,5.0,0.011280000000000002,0.9871655236034712,0.9897550949541075,0.188
0.05,0.1,5.0,0.01152,0.9867563254627986,0.9895373295368317,0.192
0.05,0.1,5.0,0.011760000000000001,0.9863363957967373,0.9893195730005665,0.196
0.05,0.1,5.0,0.012000000000000002,0.9859052757146176,0.98910182535009,0.2
0.05,0.1,5.0,0.012240000000000001,0.9854624916249446,0.9888840865901833,0.204
0.05,0.1,5.0,0.01248,0.9850075552956861,0.9886663567256304,0.208
0.05,0.1,5.0,0.01272,0.9845399639932992,0.9884486357612184,0.212
0.05,0.1,5.0,0.01296,0.9840592007053389,0.9882309237017374,0.216
0.05,0.1,5.0,0.0132,0.9835647344502659,0.9880132205519804,0.22
0.05,0.1,5.0,0.013440000000000002,0.9830560206786911,0.9877955263167433,0.224
0.05,0.1,5.0,0.013680000000000001,0.9825325017669688,0.9875778410008254,0.228
0.05,0.1,5.0,0.013920000000000002,0.9819936076051664,0.9873601646090286,0.232
0.05,0.1,5.0,0.01416,0.9814387562773222,0.9871424971461581,0.236
0.05,0.1,5.0,0.014400000000000001,0.9808673408072568,0.9869248386170217,0.24
0.05,0.1,5.0,0.01464,0.9802787807464965,0.986707189026431,0.244
0.05,0.1,5.0,0.01488,0.9796724532397779,0.9864895483791996,0.248
0.05,0.1,5.0,0.01512,0.9790477371564673,0.9862719166801448,0.252
0.05,0.1,5.0,0.015360000000000002,0.9784040040930001,0.9860542939340868,0.256
0.05,0.1,5.0,0.015600000000000003,0.9777406194882726,0.9858366801458489,0.26
0.05,0.1,5.0,0.01584,0.9770569437827654,0.9856190753202569,0.264
0.05,0.1,5.0,0.016080000000000004,0.9763523336122392,0.9854014794621404,0.268
0.05,0.1,5.0,0.01632,0.9756261430218544,0.9851838925763314,0.272
0.05,0.1,5.0,0.016560000000000002,0.9748777246910455,0.9849663146676653,0.276
0.05,0.1,5.0,0.016800000000000002,0.9741064311557524,0.9847487457409803,0.28
0.05,0.1,5.0,0.01704,0.9733116165661451,0.9845311858011176,0.284
0.05,0.1,5.0,0.01728,0.9724926356443967,0.9843136348529219,0.288
0.05,0.1,5.0,0.01752,0.9716488482176777,0.9840960929012402,0.292
0.05,0.1,5.0,0.01776,0.9707796180343313,0.9838785599509233,0.296
0.05,0.1,5.0,0.018,0.9698843143944404,0.9836610360068244,0.3
0.05,0.1,5.0,0.01824,0.9689623131402737,0.9834435210738002,0.304
0.05,0.1,5.0,0.018480000000000003,0.9680129975799356,0.98322601515671,0.308
0.05,0.1,5.0,0.01872,0.9670357593399793,0.9830085182604167,0.312
0.05,0.1,5.0,0.01896,0.9660299991431435,0.9827910303897858,0.316
0.05,0.1,5.0,0.019200000000000002,0.964995127508853,0.982573551549686,0.32
0.05,0.1,5.0,0.019440000000000002,0.9639305653750334,0.982356081744989,0.324
0.05,0.1,5.0,0.019680000000000003,0.962835744641614,0.9821386209805697,0.328
0.05,0.1,5.0,0.01992,0.9617101086353925,0.9819211692613059,0.332
0.05,0.1,5.0,0.020160000000000004,0.9605531124990495,0.9817037265920784,0.336
0.05,0.1,5.0,0.0204,0.959364223505409,0.9814862929777715,0.34
0.05,0.1,5.0,0.02064,0.9581429213007223,0.9812688684232718,0.344
0.05,0.1,5.0,0.02088,0.9568886980798663,0.9810514529334696,0.348
0.05,0.1,5.0,0.02112,0.9556010586972886,0.9808340465132582,0.352
0.05,0.1,5.0,0.02136,0.9542795207177643,0.9806166491675337,0.356
0.05,0.1,5.0,0.021599999999999998,0.9529236144113444,0.9803992609011952,0.36
