rho,delta,beta,alpha,mmse,mse_ridge_opt,alpha_LR
0.1,0.1,Inf,0.0,1.0,1.0,0.0
0.1,0.1,Inf,0.002,0.9800698412777712,0.9981821191553855,0.02
0.1,0.1,Inf,0.004,0.9602810855248863,0.9963648420531718,0.04
0.1,0.1,Inf,0.006,0.9406364087119804,0.9945481713968187,0.06
0.1,0.1,Inf,0.008,0.9211386184602711,0.9927321099039272,0.08
0.1,0.1,Inf,0.01,0.9017906597255675,0.9909166603063145,0.09999999999999999
0.1,0.1,Inf,0.012,0.8825956204738986,0.98910182535009,0.12
0.1,0.1,Inf,0.014,0.8635567372981162,0.9872876077957314,0.13999999999999999
0.1,0.1,Inf,0.016,0.8446774009049635,0.9854740104181616,0.16
0.1,0.1,Inf,0.018000000000000002,0.8259611613925485,0.9836610360068244,0.18000000000000002
0.1,0.1,Inf,0.02,0.8074117332239042,0.9818486873657627,0.19999999999999998
0.1,0.1,Inf,0.022000000000000002,0.7890329997866385,0.9800369673136947,0.22
0.1,0.1,Inf,0.024,0.7708290174102751,0.9782258786840926,0.24
0.1,0.1,Inf,0.026000000000000002,0.7528040186960255,0.9764154243252597,0.26
0.1,0.1,Inf,0.028,0.7349624149919574,0.9746056071004089,0.27999999999999997
0.1,0.1,Inf,0.030000000000000002,0.7173087978269183,0.9727964298877411,0.3
0.1,0.1,Inf,0.032,0.6998479390941028,0.9709878955805242,0.32
0.1,0.1,Inf,0.034,0.6825847897539294,0.9691800070871722,0.34
0.1,0.1,Inf,0.036000000000000004,0.6655244768046449,0.967372767331324,0.36000000000000004
0.1,0.1,Inf,0.038,0.6486722982498256,0.9655661792519239,0.37999999999999995
0.1,0.1,Inf,0.04,0.632033715775342,0.9637602458033007,0.39999999999999997
0.1,0.1,Inf,0.042,0.6156143448360676,0.9619549699552487,0.42
0.1,0.1,Inf,0.044000000000000004,0.5994199418462806,0.9601503546931074,0.44
0.1,0.1,Inf,0.046,0.583456388169356,0.958346403017843,0.45999999999999996
0.1,0.1,Inf,0.048,0.567729670613861,0.9565431179461289,0.48
0.1,0.1,Inf,0.05,0.5522458581673706,0.9547405025104273,0.5
0.1,0.1,Inf,0.052000000000000005,0.5370110747375558,0.9529385597590707,0.52
0.1,0.1,Inf,0.054000000000000006,0.5220314677257174,0.9511372927563438,0.54
0.1,0.1,Inf,0.056,0.5073131723315303,0.9493367045825656,0.5599999999999999
0.1,0.1,Inf,0.058,0.492862271581474,0.9475367983341715,0.58
0.1,0.1,Inf,0.060000000000000005,0.47868475218694306,0.9457375771237966,0.6
0.1,0.1,Inf,0.062000000000000006,0.46478645647101335,0.943939044080358,0.62
0.1,0.1,Inf,0.064,0.45117303075252535,0.942141202349138,0.64
0.1,0.1,Inf,0.066,0.43784987073911164,0.9403440550918678,0.66
0.1,0.1,Inf,0.068,0.4248220646507096,0.9385476054868112,0.68
0.1,0.1,Inf,0.07,0.41209433496484327,0.9367518567288476,0.7000000000000001
0.1,0.1,Inf,0.07200000000000001,0.3996709798350314,0.9349568120295578,0.7200000000000001
0.1,0.1,Inf,0.07400000000000001,0.3875558153737281,0.9331624746173065,0.7400000000000001
0.1,0.1,Inf,0.076,0.3757521201003131,0.9313688477373282,0.7599999999999999
0.1,0.1,Inf,0.078,0.36426258292184843,0.9295759346518117,0.7799999999999999
0.1,0.1,Inf,0.08,0.3530892560306038,0.9277837386399848,0.7999999999999999
0.1,0.1,Inf,0.082,0.3422335140599919,0.9259922629982,0.82
0.1,0.1,Inf,0.084,0.33169602073649007,0.9242015110400201,0.84
0.1,0.1,Inf,0.08600000000000001,0.3214767040988491,0.9224114860963034,0.86
0.1,0.1,Inf,0.08800000000000001,0.311574741133112,0.9206221915152901,0.88
0.1,0.1,Inf,0.09000000000000001,0.3019885524012592,0.9188336306626883,0.9
0.1,0.1,Inf,0.092,0.2927158069365521,0.9170458069217602,0.9199999999999999
0.1,0.1,Inf,0.094,0.2837534373560373,0.9152587236934087,0.94
0.1,0.1,Inf,0.096,0.275097664818329,0.9134723843962643,0.96
0.1,0.1,Inf,0.098,0.26674403315083806,0.9116867924667722,0.98
0.1,0.1,Inf,0.1,0.2586874512018422,0.9099019513592785,1.0
0.2,0.1,Inf,0.0,1.0,1.0,0.0
0.2,0.1,Inf,0.004,0.9782915927919678,0.9963648420531718,0.02
0.2,0.1,Inf,0.008,0.9568043004468852,0.9927321099039272,0.04
0.2,0.1,Inf,0.012,0.935540546922525,0.98910182535009,0.06
0.2,0.1,Inf,0.016,0.9145028591889871,0.9854740104181616,0.08
0.2,0.1,Inf,0.02,0.8936938699874922,0.9818486873657627,0.09999999999999999
0.2,0.1,Inf,0.024,0.8731163203149372,0.9782258786840926,0.12
0.2,0.1,Inf,0.028,0.852773061561681,0.9746056071004089,0.13999999999999999
0.2,0.1,Inf,0.032,0.8326670572167069,0.9709878955805242,0.16
0.2,0.1,Inf,0.036000000000000004,0.8128013840467426,0.967372767331324,0.18000000000000002
0.2,0.1,Inf,0.04,0.7931792326415781,0.9637602458033007,0.19999999999999998
0.2,0.1,Inf,0.044000000000000004,0.7738039072072317,0.9601503546931074,0.22
0.2,0.1,Inf,0.048,0.7546788244748657,0.9565431179461289,0.24
0.2,0.1,Inf,0.052000000000000005,0.7358075115813261,0.9529385597590707,0.26
0.2,0.1,Inf,0.056,0.7171936027648922,0.9493367045825656,0.27999999999999997
0.2,0.1,Inf,0.060000000000000005,0.6988408347079933,0.9457375771237966,0.3
0.2,0.1,Inf,0.064,0.6807530403491814,0.942141202349138,0.32
0.2,0.1,Inf,0.068,0.6629341409784195,0.9385476054868112,0.34
0.2,0.1,Inf,0.07200000000000001,0.6453881364254228,0.9349568120295578,0.36000000000000004
0.2,0.1,Inf,0.076,0.6281190931500287,0.9313688477373282,0.37999999999999995
0.2,0.1,Inf,0.08,0.6111311300480953,0.9277837386399848,0.39999999999999997
0.2,0.1,Inf,0.084,0.5944284017977939,0.9242015110400201,0.42
0.2,0.1,Inf,0.08800000000000001,0.5780150795895633,0.9206221915152901,0.44
0.2,0.1,Inf,0.092,0.5618953291110789,0.9170458069217602,0.45999999999999996
0.2,0.1,Inf,0.096,0.5460732856963049,0.9134723843962643,0.48
