rho,delta,beta,alpha,mmse,mse_ridge_opt,alpha_LR
0.1,0.1,1.0,0.0,1.0,1.0,0.0
0.2,0.1,1.0,0.0,1.0,1.0,0.0
0.5,0.1,1.0,0.0,1.0,1.0,0.0
1.0,0.1,1.0,0.0,1.0,1.0,0.0
2.0,0.1,1.0,0.0,1.0,1.0,0.0
0.1,0.1,1.0,0.005,0.9954468631950217,0.9954564307497449,0.024999999999999998
0.2,0.1,1.0,0.005,0.9954538861991684,0.9954564307497449,0.012499999999999999
0.5,0.1,1.0,0.005,0.9954558769091548,0.9954564307497449,0.005
1.0,0.1,1.0,0.005,0.9954561706776242,0.9954564307497449,0.0025
2.0,0.1,1.0,0.005,0.9954562482285454,0.9954564307497449,0.00125
0.1,0.1,1.0,0.01,0.9908423891444965,0.9909166603063145,0.049999999999999996
0.2,0.1,1.0,0.01,0.9908982192947122,0.9909166603063145,0.024999999999999998
0.5,0.1,1.0,0.01,0.9909136216561802,0.9909166603063145,0.01
1.0,0.1,1.0,0.01,0.9909158222820486,0.9909166603063145,0.005
2.0,0.1,1.0,0.01,0.9909163793476857,0.9909166603063145,0.0025
0.1,0.1,1.0,0.015,0.9861284830923273,0.9863807314108489,0.075
0.2,0.1,1.0,0.015,0.9863186306741003,0.9863807314108489,0.0375
0.5,0.1,1.0,0.015,0.9863708418919096,0.9863807314108489,0.015
1.0,0.1,1.0,0.015,0.9863783309522018,0.9863807314108489,0.0075
2.0,0.1,1.0,0.015,0.9863802193405322,0.9863807314108489,0.00375
0.1,0.1,1.0,0.02,0.9812480606686148,0.9818486873657627,0.09999999999999999
0.2,0.1,1.0,0.02,0.9817015786317225,0.9818486873657627,0.049999999999999996
0.5,0.1,1.0,0.02,0.9818253748456327,0.9818486873657627,0.02
1.0,0.1,1.0,0.02,0.9818428605605068,0.9818486873657627,0.01
2.0,0.1,1.0,0.02,0.9818472638664846,0.9818486873657627,0.005
0.1,0.1,1.0,0.025,0.9761413808087817,0.9773205720422296,0.125
