rho,delta,beta,alpha,mmse,mse_ridge_opt,alpha_LR
1,0.0,1.0,0.0,1.0,1.0,0.0
1,0.0,2.0,0.0,1.0,1.0,0.0
1,0.0,5.0,0.0,1.0,1.0,0.0
1,0.0,10.0,0.0,1.0,1.0,0.0
1,0.0,100.0,0.0,1.0,1.0,0.0
1,0.0,1000.0,0.0,1.0,1.0,0.0
1,0.0,Inf,0.0,1.0,1.0,0.0
1,0.0,1.0,0.005,0.9950004517808757,0.995,0.0025
1,0.0,2.0,0.005,0.9950001624157294,0.995,0.0033333333333333335
1,0.0,5.0,0.005,0.9949996459466937,0.995,0.004166666666666667
1,0.0,10.0,0.005,0.9949990100839605,0.995,0.004545454545454546
1,0.0,100.0,0.005,0.9949879914048806,0.995,0.0049504950495049506
1,0.0,1000.0,0.005,0.9948766912793671,0.995,0.004995004995004995
1,0.0,Inf,0.005,0.9900250000002313,0.995,0.005
1,0.0,1.0,0.01,0.9899988912299955,0.99,0.005
1,0.0,2.0,0.01,0.9899983116510568,0.99,0.006666666666666667
1,0.0,5.0,0.01,0.989995256395217,0.99,0.008333333333333333
1,0.0,10.0,0.01,0.9899902999939887,0.99,0.009090909090909092
1,0.0,100.0,0.01,0.9899013994751752,0.99,0.009900990099009901
1,0.0,1000.0,0.01,0.9890326330949913,0.99,0.00999000999000999
1,0.0,Inf,0.01,0.9800999999999422,0.99,0.01
1,0.0,1.0,0.015,0.9849967460840063,0.985,0.0075
1,0.0,2.0,0.015,0.9849936003168505,0.985,0.01
1,0.0,5.0,0.015,0.9849835664154527,0.985,0.012499999999999999
1,0.0,10.0,0.015,0.9849669471812141,0.985,0.013636363636363636
1,0.0,100.0,0.015,0.9846686807224294,0.985,0.01485148514851485
1,0.0,1000.0,0.015,0.9819651956454186,0.985,0.014985014985014986
1,0.0,Inf,0.015,0.970225000000163,0.985,0.015
1,0.0,1.0,0.02,0.9799922196520807,0.98,0.01
1,0.0,2.0,0.02,0.9799845423458157,0.98,0.013333333333333334
1,0.0,5.0,0.02,0.9799609848408768,0.98,0.016666666666666666
1,0.0,10.0,0.02,0.9799218174590928,0.98,0.018181818181818184
1,0.0,100.0,0.02,0.9792213559634153,0.98,0.019801980198019802
1,0.0,1000.0,0.02,0.9736636155115634,0.98,0.01998001998001998
1,0.0,Inf,0.02,0.9603999999999584,0.98,0.02
1,0.0,1.0,0.025,0.9749848810618577,0.975,0.0125
1,0.0,2.0,0.025,0.9749697466362633,0.975,0.016666666666666666
1,0.0,5.0,0.025,0.9749240479053918,0.975,0.020833333333333332
1,0.0,10.0,0.025,0.9748479999714204,0.975,0.022727272727272728
1,0.0,100.0,0.025,0.973497655645042,0.975,0.024752475247524754
1,0.0,1000.0,0.025,0.9644708658772844,0.975,0.024975024975024976
1,0.0,Inf,0.025,0.9506249999999582,0.975,0.025
1,0.0,1.0,0.03,0.9699739112109065,0.97,0.015
1,0.0,2.0,0.03,0.9699478540351711,0.97,0.02
1,0.0,5.0,0.03,0.96986937701339,0.97,0.024999999999999998
1,0.0,10.0,0.03,0.9697387817092918,0.97,0.02727272727272727
1,0.0,100.0,0.03,0.9674467210238955,0.97,0.0297029702970297
1,0.0,1000.0,0.03,0.9547504364027262,0.97,0.029970029970029972
1,0.0,Inf,0.03,0.9408999999999422,0.97,0.03
1,0.0,1.0,0.035,0.9649587678071868,0.965,0.0175
1,0.0,2.0,0.035,0.9649175430726072,0.965,0.023333333333333334
1,0.0,5.0,0.035,0.9647936923764131,0.965,0.02916666666666667
1,0.0,10.0,0.035,0.9645876811120244,0.965,0.03181818181818182
1,0.0,100.0,0.035,0.9610328934167294,0.965,0.034653465346534656
1,0.0,1000.0,0.035,0.944758315767192,0.965,0.03496503496503497
1,0.0,Inf,0.035,0.9312250000000095,0.965,0.035
1,0.0,1.0,0.04,0.9599387616150109,0.96,0.02
1,0.0,2.0,0.04,0.9598775302023272,0.96,0.02666666666666667
1,0.0,5.0,0.04,0.9596938199137979,0.96,0.03333333333333333
1,0.0,10.0,0.04,0.9593884781445244,0.96,0.03636363636363637
1,0.0,100.0,0.04,0.9542385012521635,0.96,0.039603960396039604
1,0.0,1000.0,0.04,0.9346510228570967,0.96,0.03996003996003996
1,0.0,Inf,0.04,0.921600000000002,0.96,0.04
1,0.0,1.0,0.045,0.9549132704849844,0.955,0.0225
1,0.0,2.0,0.045,0.9548265708907677,0.955,0.03
1,0.0,5.0,0.045,0.9545666992465399,0.955,0.0375
1,0.0,10.0,0.045,0.9541352484731076,0.955,0.0409090909090909
1,0.0,100.0,0.045,0.9470640022693482,0.955,0.04455445544554455
1,0.0,1000.0,0.045,0.9245191971482686,0.955,0.04495504495504495
1,0.0,Inf,0.045,0.9120249999999976,0.955,0.045
1,0.0,1.0,0.05,0.9498817120377773,0.95,0.025
1,0.0,2.0,0.05,0.9497634610308788,0.95,0.03333333333333333
1,0.0,5.0,0.05,0.9494093924336038,0.95,0.041666666666666664
1,0.0,10.0,0.05,0.9488224005326109,0.95,0.045454545454545456
1,0.0,100.0,0.05,0.9395254805508356,0.95,0.04950495049504951
1,0.0,1000.0,0.05,0.9144139734107056,0.95,0.04995004995004995
1,0.0,Inf,0.05,0.9025000000000054,0.95,0.05
1,0.0,1.0,0.055,0.9448433544128486,0.945,0.0275
1,0.0,2.0,0.055,0.9446870385059879,0.945,0.03666666666666667
1,0.0,5.0,0.055,0.9442190931993713,0.945,0.04583333333333334
1,0.0,10.0,0.055,0.943444714079998,0.945,0.05
1,0.0,100.0,0.055,0.9316506265819601,0.945,0.054455445544554455
1,0.0,1000.0,0.055,0.9043635878531373,0.945,0.054945054945054944
1,0.0,Inf,0.055,0.8930249999999967,0.945,0.055
1,0.0,1.0,0.06,0.9397979214837332,0.94,0.03
1,0.0,2.0,0.06,0.9395961848252675,0.94,0.04
1,0.0,5.0,0.06,0.9389931364153518,0.94,0.049999999999999996
1,0.0,10.0,0.06,0.9379973786158814,0.94,0.05454545454545454
1,0.0,100.0,0.06,0.9234742261167497,0.94,0.0594059405940594
1,0.0,1000.0,0.06,0.894383053251119,0.94,0.059940059940059943
1,0.0,Inf,0.06,0.8835999999999977,0.94,0.06
1,0.0,1.0,0.065,0.9347446405066921,0.935,0.0325
1,0.0,2.0,0.065,0.9344898267847178,0.935,0.043333333333333335
1,0.0,5.0,0.065,0.9337290075896532,0.935,0.05416666666666667
1,0.0,10.0,0.065,0.9324760299129438,0.935,0.05909090909090909
1,0.0,100.0,0.065,0.9150343419860363,0.935,0.06435643564356436
1,0.0,1000.0,0.065,0.884479808413052,0.935,0.06493506493506493
1,0.0,Inf,0.065,0.8742249999999996,0.935,0.065
1,0.0,1.0,0.07,0.9296830372676212,0.9299999999999999,0.035
1,0.0,2.0,0.07,0.9293669381184343,0.9299999999999999,0.04666666666666667
1,0.0,5.0,0.07,0.9284243521088972,0.9299999999999999,0.05833333333333334
1,0.0,10.0,0.07,0.9268767690905211,0.9299999999999999,0.06363636363636364
1,0.0,100.0,0.07,0.9063693880441756,0.9299999999999999,0.06930693069306931
1,0.0,1000.0,0.07,0.8746569497984349,0.9299999999999999,0.06993006993006994
1,0.0,Inf,0.07,0.8648999999999997,0.9299999999999999,0.07
1,0.0,1.0,0.075,0.9246126239659884,0.925,0.0375
1,0.0,2.0,0.075,0.9242265411106216,0.925,0.049999999999999996
1,0.0,5.0,0.075,0.9230769839723156,0.925,0.0625
1,0.0,10.0,0.075,0.9211962360802088,0.925,0.06818181818181818
1,0.0,100.0,0.075,0.8975161801331962,0.925,0.07425742574257425
1,0.0,1000.0,0.075,0.8649151156223898,0.925,0.07492507492507493
1,0.0,Inf,0.075,0.8556250000000046,0.925,0.075
1,0.0,1.0,0.08,0.9195320539043755,0.92,0.04
1,0.0,2.0,0.08,0.9190677081406923,0.92,0.05333333333333334
1,0.0,5.0,0.08,0.9176848778355624,0.92,0.06666666666666667
1,0.0,10.0,0.08,0.9154315706755988,0.92,0.07272727272727274
1,0.0,100.0,0.08,0.8885087877106219,0.92,0.07920792079207921
1,0.0,1000.0,0.08,0.8552535657629281,0.92,0.07992007992007992
1,0.0,Inf,0.08,0.8464000000000037,0.92,0.08
1,0.0,1.0,0.085,0.9144434372633966,0.915,0.0425
1,0.0,2.0,0.085,0.9138895516493548,0.915,0.05666666666666667
1,0.0,5.0,0.085,0.9122462316799279,0.915,0.07083333333333335
1,0.0,10.0,0.085,0.9095804606309333,0.915,0.07727272727272728
1,0.0,100.0,0.085,0.8793779734231401,0.915,0.08415841584158416
1,0.0,1000.0,0.085,0.8456708529709009,0.915,0.08491508491508491
1,0.0,Inf,0.085,0.837225000000005,0.915,0.085
1,0.0,1.0,0.09,0.9093437533872786,0.91,0.045
1,0.0,2.0,0.09,0.9086912667044464,0.91,0.06
1,0.0,5.0,0.09,0.9067593981107754,0.91,0.075
1,0.0,10.0,0.09,0.9036411382933389,0.91,0.0818181818181818
1,0.0,100.0,0.09,0.8701510285387133,0.91,0.0891089108910891
1,0.0,1000.0,0.09,0.836165183100307,0.91,0.0899100899100899
1,0.0,Inf,0.09,0.8280999999999981,0.91,0.09
1,0.0,1.0,0.095,0.9042334852937837,0.905,0.0475
1,0.0,2.0,0.095,0.9034720760428789,0.905,0.06333333333333334
1,0.0,5.0,0.095,0.9012229336260371,0.905,0.07916666666666666
1,0.0,10.0,0.095,0.8976123765982732,0.905,0.08636363636363636
1,0.0,100.0,0.095,0.8608518549172406,0.905,0.09405940594059406
1,0.0,1000.0,0.095,0.8267346400818762,0.905,0.09490509490509491
1,0.0,Inf,0.095,0.8190249999999956,0.905,0.095
1,0.0,1.0,0.1,0.8991121992166754,0.9,0.05
1,0.0,2.0,0.1,0.8982312654436468,0.9,0.06666666666666667
1,0.0,5.0,0.1,0.8956355912571168,0.9,0.08333333333333333
1,0.0,10.0,0.1,0.8914934768753942,0.9,0.09090909090909091
1,0.0,100.0,0.1,0.8515011871980573,0.9,0.09900990099009901
1,0.0,1000.0,0.1,0.8173773122996245,0.9,0.0999000999000999
1,0.0,Inf,0.1,0.8099999999999984,0.9,0.1
1,0.0,1.0,0.105,0.8939795422527601,0.895,0.0525
1,0.0,2.0,0.105,0.8929681766719572,0.895,0.06999999999999999
1,0.0,5.0,0.105,0.889996321861394,0.895,0.08750000000000001
1,0.0,10.0,0.105,0.885284249199218,0.895,0.09545454545454546
1,0.0,100.0,0.105,0.8421168840263986,0.895,0.10396039603960396
1,0.0,1000.0,0.105,0.8080913624983953,0.895,0.1048951048951049
1,0.0,Inf,0.105,0.8010250000000004,0.895,0.105
1,0.0,1.0,0.11,0.8888351677650741,0.89,0.055
1,0.0,2.0,0.11,0.8876822081613366,0.89,0.07333333333333333
1,0.0,5.0,0.11,0.8843042737902379,0.89,0.09166666666666667
1,0.0,10.0,0.11,0.8789849863215599,0.89,0.1
1,0.0,100.0,0.11,0.8327142430942625,0.89,0.10891089108910891
1,0.0,1000.0,0.11,0.7988750638017414,0.89,0.10989010989010989
1,0.0,Inf,0.11,0.7920999999999981,0.89,0.11
1,0.0,1.0,0.115,0.8836787391629534,0.885,0.0575
1,0.0,2.0,0.115,0.8823728154939772,0.885,0.07666666666666667
1,0.0,5.0,0.115,0.8785587909510468,0.885,0.09583333333333334
1,0.0,10.0,0.115,0.8725964324160941,0.885,0.10454545454545455
