rho,delta,beta,alpha,mmse,mse_ridge_opt,alpha_LR
0.5,0.1,1.0,0.0,1.0,1.0,0.0
0.5,0.1,2.0,0.0,1.0,1.0,0.0
0.5,0.1,5.0,0.0,1.0,1.0,0.0
0.5,0.1,10.0,0.0,1.0,1.0,0.0
0.5,0.1,100.0,0.0,1.0,1.0,0.0
0.5,0.1,1000.0,0.0,1.0,1.0,0.0
0.5,0.1,Inf,0.0,1.0,1.0,0.0
0.5,0.1,1.0,0.02,0.9818253748456327,0.9818486873657627,0.02
0.5,0.1,2.0,0.02,0.9818019974901613,0.9818486873657627,0.02666666666666667
0.5,0.1,5.0,0.02,0.981731376612231,0.9818486873657627,0.03333333333333333
0.5,0.1,10.0,0.02,0.9816132656885556,0.9818486873657627,0.03636363636363637
0.5,0.1,100.0,0.02,0.9794138545856979,0.9818486873657627,0.039603960396039604
0.5,0.1,1000.0,0.02,0.9644409978195695,0.9818486873657627,0.03996003996003996
0.5,0.1,Inf,0.02,0.9463884079945238,0.9818486873657627,0.04
0.5,0.1,1.0,0.04,0.9635776038900439,0.9637602458033007,0.04
0.5,0.1,2.0,0.04,0.9633944032736143,0.9637602458033007,0.05333333333333334
0.5,0.1,5.0,0.04,0.9628408474675875,0.9637602458033007,0.06666666666666667
0.5,0.1,10.0,0.04,0.9619081392648534,0.9637602458033007,0.07272727272727274
0.5,0.1,100.0,0.04,0.9461018433283035,0.9637602458033007,0.07920792079207921
0.5,0.1,1000.0,0.04,0.9090052337393011,0.9637602458033007,0.07992007992007992
0.5,0.1,Inf,0.04,0.8946534087058734,0.9637602458033007,0.08
0.5,0.1,1.0,0.06,0.9451381279457293,0.9457375771237966,0.06
0.5,0.1,2.0,0.06,0.9445353982514624,0.9457375771237966,0.08
0.5,0.1,5.0,0.06,0.9427107947114348,0.9457375771237966,0.09999999999999999
0.5,0.1,10.0,0.06,0.9396434188809306,0.9457375771237966,0.10909090909090909
0.5,0.1,100.0,0.06,0.9003689758226743,0.9457375771237966,0.1188118811881188
0.5,0.1,1000.0,0.06,0.8556658011004084,0.9457375771237966,0.11988011988011989
0.5,0.1,Inf,0.06,0.8448080277354777,0.9457375771237966,0.12
0.5,0.1,1.0,0.08,0.9264055640085904,0.9277837386399848,0.08
0.5,0.1,2.0,0.08,0.92501881417988,0.9277837386399848,0.10666666666666667
0.5,0.1,5.0,0.08,0.9208365679818877,0.9277837386399848,0.13333333333333333
0.5,0.1,10.0,0.08,0.9139505984646255,0.9277837386399848,0.14545454545454548
0.5,0.1,100.0,0.08,0.8499750608144364,0.9277837386399848,0.15841584158415842
0.5,0.1,1000.0,0.08,0.8053373402676283,0.9277837386399848,0.15984015984015984
0.5,0.1,Inf,0.08,0.7968646342766482,0.9277837386399848,0.16
0.5,0.1,1.0,0.1,0.907298576365391,0.9099019513592785,0.1
0.5,0.1,2.0,0.1,0.904684888157432,0.9099019513592785,0.13333333333333333
0.5,0.1,5.0,0.1,0.8968971533696368,0.9099019513592785,0.16666666666666666
0.5,0.1,10.0,0.1,0.884582692192775,0.9099019513592785,0.18181818181818182
0.5,0.1,100.0,0.1,0.7993493117287493,0.9099019513592785,0.19801980198019803
0.5,0.1,1000.0,0.1,0.7576361791902638,0.9099019513592785,0.1998001998001998
0.5,0.1,Inf,0.1,0.7508345078808805,0.9099019513592785,0.2
0.5,0.1,1.0,0.12,0.8877586587485295,0.8920956084253278,0.12
0.5,0.1,2.0,0.12,0.883430079605754,0.8920956084253278,0.16
0.5,0.1,5.0,0.12,0.8707976509960235,0.8920956084253278,0.19999999999999998
0.5,0.1,10.0,0.12,0.8518791487129823,0.8920956084253278,0.21818181818181817
0.5,0.1,100.0,0.12,0.7502525991246922,0.8920956084253278,0.2376237623762376
0.5,0.1,1000.0,0.12,0.7123058443087005,0.8920956084253278,0.23976023976023977
0.5,0.1,Inf,0.12,0.7067273114001608,0.8920956084253278,0.24
0.5,0.1,1.0,0.14,0.8677517603152995,0.874368283772331,0.14
0.5,0.1,2.0,0.14,0.8612116102290623,0.874368283772331,0.18666666666666668
0.5,0.1,5.0,0.14,0.842650021410567,0.874368283772331,0.23333333333333336
0.5,0.1,10.0,0.14,0.8165145876271893,0.874368283772331,0.2545454545454546
0.5,0.1,100.0,0.14,0.703319886777956,0.874368283772331,0.27722772277227725
0.5,0.1,1000.0,0.14,0.6692016606336265,0.874368283772331,0.27972027972027974
0.5,0.1,Inf,0.14,0.6645504655983946,0.874368283772331,0.28
0.5,0.1,1.0,0.16,0.8472680738278795,0.8567237409455183,0.16
0.5,0.1,2.0,0.16,0.8380443005055846,0.8567237409455183,0.21333333333333335
0.5,0.1,5.0,0.16,0.8127116276107516,0.8567237409455183,0.26666666666666666
0.5,0.1,10.0,0.16,0.7792653127089444,0.8567237409455183,0.29090909090909095
0.5,0.1,100.0,0.16,0.6587507322126981,0.8567237409455183,0.31683168316831684
0.5,0.1,1000.0,0.16,0.628240747721801,0.8567237409455183,0.3196803196803197
0.5,0.1,Inf,0.16,0.624308426955438,0.8567237409455183,0.32
0.5,0.1,1.0,0.18,0.8263204332947657,0.8391659420284376,0.18
0.5,0.1,2.0,0.18,0.8139912427502203,0.8391659420284376,0.24
0.5,0.1,5.0,0.18,0.7813191223778405,0.8391659420284376,0.3
0.5,0.1,10.0,0.18,0.7408767496625486,0.8391659420284376,0.3272727272727272
0.5,0.1,100.0,0.18,0.6165781110566002,0.8391659420284376,0.3564356435643564
0.5,0.1,1000.0,0.18,0.5893645805426171,0.8391659420284376,0.3596403596403596
0.5,0.1,Inf,0.18,0.5860018787786883,0.8391659420284376,0.36
0.5,0.1,1.0,0.2,0.8049410460127512,0.8216990566028302,0.2
0.5,0.1,2.0,0.2,0.789151516471958,0.8216990566028302,0.26666666666666666
0.5,0.1,5.0,0.2,0.7488385349896591,0.8216990566028302,0.3333333333333333
0.5,0.1,10.0,0.2,0.7020079407972648,0.8216990566028302,0.36363636363636365
0.5,0.1,100.0,0.2,0.5767720430189872,0.8216990566028302,0.39603960396039606
0.5,0.1,1000.0,0.2,0.5525286357688548,0.8216990566028302,0.3996003996003996
0.5,0.1,Inf,0.2,0.5496268568666911,0.8216990566028302,0.4
0.5,0.1,1.0,0.22,0.7831776970440197,0.8043274706497561,0.22
0.5,0.1,2.0,0.22,0.7636480943694552,0.8043274706497561,0.29333333333333333
0.5,0.1,5.0,0.22,0.7156341412678309,0.8043274706497561,0.3666666666666667
0.5,0.1,10.0,0.22,0.663216745962,0.8043274706497561,0.4
0.5,0.1,100.0,0.22,0.539279604362898,0.8043274706497561,0.43564356435643564
0.5,0.1,1000.0,0.22,0.5176960437712954,0.8043274706497561,0.43956043956043955
0.5,0.1,Inf,0.22,0.5151738440862783,0.8043274706497561,0.44
0.5,0.1,1.0,0.24,0.7610898199875482,0.7870557952810575,0.24
0.5,0.1,2.0,0.24,0.7376176946067663,0.7870557952810575,0.32
0.5,0.1,5.0,0.24,0.6820513907653889,0.7870557952810575,0.39999999999999997
0.5,0.1,10.0,0.24,0.6249628629600534,0.7870557952810575,0.43636363636363634
0.5,0.1,100.0,0.24,0.5040399258544143,0.7870557952810575,0.4752475247524752
0.5,0.1,1000.0,0.24,0.4848318335599977,0.7870557952810575,0.47952047952047955
0.5,0.1,Inf,0.24,0.48262688207356774,0.7870557952810575,0.48
0.5,0.1,1.0,0.26,0.7387448201057496,0.7698888751680797,0.26
0.5,0.1,2.0,0.26,0.711203094802092,0.7698888751680797,0.3466666666666667
0.5,0.1,5.0,0.26,0.6484085947796809,0.7698888751680797,0.43333333333333335
0.5,0.1,10.0,0.26,0.5876174726527796,0.7698888751680797,0.4727272727272727
0.5,0.1,100.0,0.26,0.47098907244403365,0.7698888751680797,0.5148514851485149
0.5,0.1,1000.0,0.26,0.4538994157443964,0.7698888751680797,0.5194805194805194
0.5,0.1,Inf,0.26,0.4519627608206136,0.7698888751680797,0.52
0.5,0.1,1.0,0.28,0.7162149773486091,0.7528317965096906,0.28
0.5,0.1,2.0,0.28,0.6845476979963105,0.7528317965096906,0.37333333333333335
0.5,0.1,5.0,0.28,0.6149934703439226,0.7528317965096906,0.46666666666666673
0.5,0.1,10.0,0.28,0.5514741064872313,0.7528317965096906,0.5090909090909091
0.5,0.1,100.0,0.28,0.44006123583611834,0.7528317965096906,0.5544554455445545
0.5,0.1,1000.0,0.28,0.42485794044996417,0.7528317965096906,0.5594405594405595
0.5,0.1,Inf,0.28,0.42315035550675606,0.7528317965096906,0.56
0.5,0.1,1.0,0.3,0.6935749745435371,0.7358898943540674,0.3
0.5,0.1,2.0,0.3,0.6577918767550455,0.7358898943540674,0.39999999999999997
0.5,0.1,5.0,0.3,0.582062260894719,0.7358898943540674,0.5
0.5,0.1,10.0,0.3,0.516758997450391,0.7358898943540674,0.5454545454545454
0.5,0.1,100.0,0.3,0.41118927359364843,0.7358898943540674,0.594059405940594
0.5,0.1,1000.0,0.3,0.39766067866241983,0.7358898943540674,0.5994005994005994
0.5,0.1,Inf,0.3,0.39615018172696514,0.7358898943540674,0.6
0.5,0.1,1.0,0.32,0.6708999757477383,0.7190687590584988,0.32
0.5,0.1,2.0,0.32,0.6310705414238744,0.7190687590584988,0.4266666666666667
0.5,0.1,5.0,0.32,0.5498398739072525,0.7190687590584988,0.5333333333333333
