rho,delta,beta,alpha,mmse,mse_ridge_opt,alpha_LR
2,0.1,1.0,0.0,1.0,1.0,0.0
2,0.1,2.0,0.0,1.0,1.0,0.0
2,0.1,5.0,0.0,1.0,1.0,0.0
2,0.1,10.0,0.0,1.0,1.0,0.0
2,0.1,100.0,0.0,1.0,1.0,0.0
2,0.1,1000.0,0.0,1.0,1.0,0.0
2,0.1,Inf,0.0,1.0,1.0,0.0
2,0.1,1.0,0.02,0.9818472638664846,0.9818486873657627,0.005
2,0.1,2.0,0.02,0.9818459826339839,0.9818486873657627,0.006666666666666667
2,0.1,5.0,0.02,0.9818415339425393,0.9818486873657627,0.008333333333333333
2,0.1,10.0,0.02,0.981834213868148,0.9818486873657627,0.009090909090909092
2,0.1,100.0,0.02,0.9817037476308305,0.9818486873657627,0.009900990099009901
2,0.1,1000.0,0.02,0.9805293811110865,0.9818486873657627,0.00999000999000999
2,0.1,Inf,0.02,0.9729604596003082,0.9818486873657627,0.01
2,0.1,1.0,0.04,0.9637489281158265,0.9637602458033007,0.01
2,0.1,2.0,0.04,0.9637375829190071,0.9637602458033007,0.013333333333333334
2,0.1,5.0,0.04,0.963703380362716,0.9637602458033007,0.016666666666666666
2,0.1,10.0,0.04,0.9636466058988093,0.9637602458033007,0.018181818181818184
2,0.1,100.0,0.04,0.962663726167261,0.9637602458033007,0.019801980198019802
2,0.1,1000.0,0.04,0.9564614082504023,0.9637602458033007,0.01998001998001998
2,0.1,Inf,0.04,0.946388407994507,0.9637602458033007,0.02
2,0.1,1.0,0.06,0.9457001372258605,0.9457375771237966,0.015
2,0.1,2.0,0.06,0.9456628119662112,0.9457375771237966,0.02
2,0.1,5.0,0.06,0.945550952659452,0.9457375771237966,0.024999999999999998
2,0.1,10.0,0.06,0.9453659294801791,0.9457375771237966,0.02727272727272727
2,0.1,100.0,0.06,0.9423414351070447,0.9457375771237966,0.0297029702970297
2,0.1,1000.0,0.06,0.930011062737593,0.9457375771237966,0.029970029970029972
2,0.1,Inf,0.06,0.9202855092443706,0.9457375771237966,0.03
2,0.1,1.0,0.08,0.9276974481250497,0.9277837386399848,0.02
2,0.1,2.0,0.08,0.9276114792604484,0.9277837386399848,0.02666666666666667
2,0.1,5.0,0.08,0.9273550877137638,0.9277837386399848,0.03333333333333333
2,0.1,10.0,0.08,0.9269336957299931,0.9277837386399848,0.03636363636363637
2,0.1,100.0,0.08,0.9206042816142539,0.9277837386399848,0.039603960396039604
2,0.1,1000.0,0.08,0.9033277591904637,0.9277837386399848,0.03996003996003996
2,0.1,Inf,0.08,0.8946534087058726,0.9277837386399848,0.04
2,0.1,1.0,0.1,0.9097383899675369,0.9099019513592785,0.025
2,0.1,2.0,0.1,0.90957565483222,0.9099019513592785,0.03333333333333333
2,0.1,5.0,0.1,0.9090927946427403,0.9099019513592785,0.041666666666666664
2,0.1,10.0,0.1,0.9083062294639052,0.9099019513592785,0.045454545454545456
2,0.1,100.0,0.1,0.897673122404015,0.9099019513592785,0.04950495049504951
2,0.1,1000.0,0.1,0.8770860436615936,0.9099019513592785,0.04995004995004995
2,0.1,Inf,0.1,0.8694937228356444,0.9099019513592785,0.05
2,0.1,1.0,0.12,0.8918215717866784,0.8920956084253278,0.03
2,0.1,2.0,0.12,0.8915497256387881,0.8920956084253278,0.04
2,0.1,5.0,0.12,0.8907476084779622,0.8920956084253278,0.049999999999999996
2,0.1,10.0,0.12,0.8894558529864984,0.8920956084253278,0.05454545454545454
2,0.1,100.0,0.12,0.8739282498466846,0.8920956084253278,0.0594059405940594
2,0.1,1000.0,0.12,0.8514459738102056,0.8920956084253278,0.059940059940059943
2,0.1,Inf,0.12,0.8448080277354788,0.8920956084253278,0.06
2,0.1,1.0,0.14,0.8739469065873534,0.874368283772331,0.035
2,0.1,2.0,0.14,0.8735304311945015,0.874368283772331,0.04666666666666667
2,0.1,5.0,0.14,0.8723097589438861,0.874368283772331,0.05833333333333334
2,0.1,10.0,0.14,0.8703711253322567,0.874368283772331,0.06363636363636364
2,0.1,100.0,0.14,0.8497476171002631,0.874368283772331,0.06930693069306931
2,0.1,1000.0,0.14,0.826427217527199,0.874368283772331,0.06993006993006994
2,0.1,Inf,0.14,0.8205978463544792,0.874368283772331,0.07
2,0.1,1.0,0.16,0.8561156442817888,0.8567237409455183,0.04
2,0.1,2.0,0.16,0.8555168630437395,0.8567237409455183,0.05333333333333334
2,0.1,5.0,0.16,0.853776094620081,0.8567237409455183,0.06666666666666667
2,0.1,10.0,0.16,0.8510559820668417,0.8567237409455183,0.07272727272727274
2,0.1,100.0,0.16,0.825437561498971,0.8567237409455183,0.07920792079207921
2,0.1,1000.0,0.16,0.8020145754008791,0.8567237409455183,0.07992007992007992
2,0.1,Inf,0.16,0.7968646342766481,0.8567237409455183,0.08
2,0.1,1.0,0.18,0.8383298986966029,0.8391659420284376,0.045
2,0.1,2.0,0.18,0.8375104111764161,0.8391659420284376,0.06
2,0.1,5.0,0.18,0.8351498207351082,0.8391659420284376,0.075
2,0.1,10.0,0.18,0.8315279967547919,0.8391659420284376,0.0818181818181818
2,0.1,100.0,0.18,0.8012234573078422,0.8391659420284376,0.0891089108910891
2,0.1,1000.0,0.18,0.7781871870231285,0.8391659420284376,0.0899100899100899
2,0.1,Inf,0.18,0.7736097640316426,0.8391659420284376,0.09
2,0.1,1.0,0.2,0.8205931296846929,0.8216990566028302,0.05
2,0.1,2.0,0.2,0.8195147297883054,0.8216990566028302,0.06666666666666667
2,0.1,5.0,0.2,0.816439920818129,0.8216990566028302,0.08333333333333333
2,0.1,10.0,0.2,0.8118158513436585,0.8216990566028302,0.09090909090909091
2,0.1,100.0,0.2,0.7772629629463272,0.8216990566028302,0.09900990099009901
2,0.1,1000.0,0.2,0.754926209640317,0.8216990566028302,0.0999000999000999
2,0.1,Inf,0.2,0.7508345078808796,0.8216990566028302,0.1
2,0.1,1.0,0.22,0.8029099343276086,0.8043274706497561,0.055
2,0.1,2.0,0.22,0.8015355545462832,0.8043274706497561,0.07333333333333333
2,0.1,5.0,0.22,0.797660500736123,0.8043274706497561,0.09166666666666667
2,0.1,10.0,0.22,0.7919566728876816,0.8043274706497561,0.1
2,0.1,100.0,0.22,0.7536632614097813,0.8043274706497561,0.10891089108910891
2,0.1,1000.0,0.22,0.732216306885384,0.8043274706497561,0.10989010989010989
2,0.1,Inf,0.22,0.728540019049811,0.8043274706497561,0.11
2,0.1,1.0,0.24,0.7852859299104458,0.7870557952810575,0.06
2,0.1,2.0,0.24,0.7835805898383634,0.7870557952810575,0.08
2,0.1,5.0,0.24,0.7788299918285738,0.7870557952810575,0.09999999999999999
2,0.1,10.0,0.24,0.771993382936836,0.7870557952810575,0.10909090909090909
2,0.1,100.0,0.24,0.730495780627425,0.7870557952810575,0.1188118811881188
2,0.1,1000.0,0.24,0.7100454038152471,0.7870557952810575,0.11988011988011989
2,0.1,Inf,0.24,0.706727311400161,0.7870557952810575,0.12
2,0.1,1.0,0.26,0.7677277307553346,0.7698888751680797,0.065
2,0.1,2.0,0.26,0.7656593274158503,0.7698888751680797,0.08666666666666667
2,0.1,5.0,0.26,0.7599703244915326,0.7698888751680797,0.10833333333333334
2,0.1,10.0,0.26,0.7519723526588207,0.7698888751680797,0.11818181818181818
2,0.1,100.0,0.26,0.7078073633744186,0.7698888751680797,0.12871287128712872
2,0.1,1000.0,0.26,0.688404054331269,0.7698888751680797,0.12987012987012986
2,0.1,Inf,0.26,0.6853972375644434,0.7698888751680797,0.13
2,0.1,1.0,0.28,0.7502429602299995,0.7528317965096906,0.07
2,0.1,2.0,0.28,0.747782850586908,0.7528317965096906,0.09333333333333334
2,0.1,5.0,0.28,0.7411061193873195,0.7528317965096906,0.11666666666666668
2,0.1,10.0,0.28,0.7319414620150753,0.7528317965096906,0.1272727272727273
2,0.1,100.0,0.28,0.6856280472541878,0.7528317965096906,0.13861386138613863
2,0.1,1000.0,0.28,0.6672848143845442,0.7528317965096906,0.13986013986013987
2,0.1,Inf,0.28,0.6645504655983953,0.7528317965096906,0.14
2,0.1,1.0,0.3,0.7328401248988352,0.7358898943540674,0.075
2,0.1,2.0,0.3,0.7299636360406218,0.7358898943540674,0.09999999999999999
2,0.1,5.0,0.3,0.7222639355552076,0.7358898943540674,0.125
2,0.1,10.0,0.3,0.711948596124189,0.7358898943540674,0.13636363636363635
2,0.1,100.0,0.3,0.6639764800048921,0.7358898943540674,0.1485148514851485
2,0.1,1000.0,0.3,0.6466817178744473,0.7358898943540674,0.14985014985014986
2,0.1,Inf,0.3,0.6441874542459702,0.7358898943540674,0.15
2,0.1,1.0,0.32,0.7155284609090662,0.7190687590584988,0.08
2,0.1,2.0,0.32,0.7122153605713732,0.7190687590584988,0.10666666666666667
2,0.1,5.0,0.32,0.7034716096018798,0.7190687590584988,0.13333333333333333
2,0.1,10.0,0.32,0.6920404574746972,0.7190687590584988,0.14545454545454548
2,0.1,100.0,0.32,0.6428635855322269,0.7190687590584988,0.15841584158415842
