alpha,q,fe
0.2,0.9999,-1.72457772995624
0.2,0.9998795799434764,-1.6857516261848091
0.2,0.9998549900998686,-1.6463100855619563
0.2,0.999825378996297,-1.6068241267531547
0.2,0.9997897212886387,-1.5674062792851295
0.2,0.9997467822569217,-1.527530350248894
0.2,0.9996950750506575,-1.4884908391877547
0.2,0.9996328092036472,-1.449662748134143
0.2,0.9995578286354826,-1.4096318811804878
0.2,0.999467536992917,-1.370310709596161
0.2,0.9993588077459036,-1.3318445510289698
0.2,0.9992278759251922,-1.291441952596899
0.2,0.9990702077526843,-1.252229373844607
0.2,0.9988803436502306,-1.212323452285428
0.2,0.9986517091907379,-1.1733964569194475
0.2,0.9983763874453843,-1.1330077548229007
0.2,0.9980448448440078,-1.094532128874522
0.2,0.9976456010560306,-1.0553899646580187
0.2,0.9971648314608815,-1.0157626044079626
0.2,0.9965858884426547,-0.9773346038031863
0.2,0.9958887249328668,-0.9383378614412862
0.2,0.9950492002403184,-0.899543892299098
0.2,0.9940382441310223,-0.8607295106685211
0.2,0.9928208502127792,-0.822277609892381
0.2,0.9913548637683164,-0.7838596684944337
0.2,0.9895895220632662,-0.7457596530938215
0.2,0.9874636965842105,-0.7077733222863625
0.2,0.9849037763407389,-0.6702642111250485
0.2,0.981821118936592,-0.6328544704721526
0.2,0.9781089811480899,-0.5961146372202433
0.2,0.9736388227249426,-0.5600379871531942
0.2,0.9682558554250951,-0.5240768411761879
0.2,0.9617736831599729,-0.48926096175730804
0.2,0.9539678476543572,-0.45529492349984163
0.2,0.944568056126357,-0.422329016811567
0.2,0.9332488218552406,-0.39057260906970065
0.2,0.9196181935479261,-0.3603301287797588
0.2,0.9032041832357389,-0.3317404474113146
0.2,0.8834384227400172,-0.3050026794310132
0.2,0.8596364827787537,-0.2819197718048677
0.2,0.8309741732236922,-0.25788250105095845
0.2,0.7964590038565238,-0.2378319214192707
0.2,0.7548958173953708,-0.22029382214576088
0.2,0.7048454047658499,-0.20539545291210004
0.2,0.6445746695870965,-0.1932343166995179
0.2,0.5719966162176653,-0.18381297314698503
0.2,0.4845980833264829,-0.17714246794363583
0.2,0.3793527206181426,-0.17315385277085488
0.2,0.25261619535631386,-0.172226051965925
0.2,0.09999999999999998,-0.17310819080488526
0.2,0.0,-0.1744613615073064
0.575,0.9999,-0.3260631201004194
0.575,0.9998795799434764,-0.3367284682139948
