rho,delta,beta,alpha,mmse,mse_ridge_opt
0.2,0.0,1.0,0.0,1.0,1.0
1.0,0.0,1.0,0.0,1.0,1.0
0.2,0.0,2.0,0.0,1.0,1.0
1.0,0.0,2.0,0.0,1.0,1.0
0.2,0.0,1.0,0.005,0.9949976859077113,0.995
1.0,0.0,1.0,0.005,0.9950004517808757,0.995
0.2,0.0,2.0,0.005,0.9949941871146519,0.995
1.0,0.0,2.0,0.005,0.9950001624157294,0.995
0.2,0.0,1.0,0.01,0.9899753834808702,0.99
1.0,0.0,1.0,0.01,0.9899988912299955,0.99
0.2,0.0,2.0,0.01,0.9899506367760456,0.99
1.0,0.0,2.0,0.01,0.9899983116510568,0.99
0.2,0.0,1.0,0.015,0.9849168358205628,0.985
1.0,0.0,1.0,0.015,0.9849967460840063,0.985
0.2,0.0,2.0,0.015,0.9848328343876382,0.985
1.0,0.0,2.0,0.015,0.9849936003168505,0.985
0.2,0.0,1.0,0.02,0.9798031533342733,0.98
1.0,0.0,1.0,0.02,0.9799922196520807,0.98
0.2,0.0,2.0,0.02,0.9796033783538504,0.98
1.0,0.0,2.0,0.02,0.9799845423458157,0.98
0.2,0.0,1.0,0.025,0.9746162921012584,0.975
1.0,0.0,1.0,0.025,0.9749848810618577,0.975
0.2,0.0,2.0,0.025,0.9742243337259823,0.975
1.0,0.0,2.0,0.025,0.9749697466362633,0.975
0.2,0.0,1.0,0.03,0.9693383898869425,0.97
1.0,0.0,1.0,0.03,0.9699739112109065,0.97
0.2,0.0,2.0,0.03,0.9686571023849916,0.97
1.0,0.0,2.0,0.03,0.9699478540351711,0.97
0.2,0.0,1.0,0.035,0.963951568113541,0.965
1.0,0.0,1.0,0.035,0.9649587678071868,0.965
0.2,0.0,2.0,0.035,0.9628625283788832,0.965
1.0,0.0,2.0,0.035,0.9649175430726072,0.965
0.2,0.0,1.0,0.04,0.9584380967684388,0.96
1.0,0.0,1.0,0.04,0.9599387616150109,0.96
0.2,0.0,2.0,0.04,0.956801248575249,0.96
1.0,0.0,2.0,0.04,0.9598775302023272,0.96
0.2,0.0,1.0,0.045,0.9527805361936355,0.955
1.0,0.0,1.0,0.045,0.9549132704849844,0.955
0.2,0.0,2.0,0.045,0.9504342701830518,0.955
1.0,0.0,2.0,0.045,0.9548265708907677,0.955
0.2,0.0,1.0,0.05,0.9469622434857407,0.95
1.0,0.0,1.0,0.05,0.9498817120377773,0.95
0.2,0.0,2.0,0.05,0.943723813684339,0.95
1.0,0.0,2.0,0.05,0.9497634610308788,0.95
0.2,0.0,1.0,0.055,0.9409666242924037,0.945
1.0,0.0,1.0,0.055,0.9448433544128486,0.945
0.2,0.0,2.0,0.055,0.9366341758485923,0.945
1.0,0.0,2.0,0.055,0.9446870385059879,0.945
0.2,0.0,1.0,0.06,0.9347783802581535,0.94
1.0,0.0,1.0,0.06,0.9397979214837332,0.94
0.2,0.0,2.0,0.06,0.9291326872415746,0.94
1.0,0.0,2.0,0.06,0.9395961848252675,0.94
0.2,0.0,1.0,0.065,0.9283829726107508,0.935
1.0,0.0,1.0,0.065,0.9347446405066921,0.935
0.2,0.0,2.0,0.065,0.9211905043553773,0.935
1.0,0.0,2.0,0.065,0.9344898267847178,0.935
0.2,0.0,1.0,0.07,0.9217672178507821,0.9299999999999999
1.0,0.0,1.0,0.07,0.9296830372676212,0.9299999999999999
0.2,0.0,2.0,0.07,0.9127831813084232,0.9299999999999999
1.0,0.0,2.0,0.07,0.9293669381184343,0.9299999999999999
0.2,0.0,1.0,0.075,0.9149192220609887,0.925
1.0,0.0,1.0,0.075,0.9246126239659884,0.925
0.2,0.0,2.0,0.075,0.9038909561703338,0.925
1.0,0.0,2.0,0.075,0.9242265411106216,0.925
0.2,0.0,1.0,0.08,0.9078286158114685,0.92
1.0,0.0,1.0,0.08,0.9195320539043755,0.92
0.2,0.0,2.0,0.08,0.8944987492162154,0.92
1.0,0.0,2.0,0.08,0.9190677081406923,0.92
0.2,0.0,1.0,0.085,0.9004868870284172,0.915
1.0,0.0,1.0,0.085,0.9144434372633966,0.915
0.2,0.0,2.0,0.085,0.8845959147329499,0.915
1.0,0.0,2.0,0.085,0.9138895516493548,0.915
0.2,0.0,1.0,0.09,0.8928867180293295,0.91
1.0,0.0,1.0,0.09,0.9093437533872786,0.91
0.2,0.0,2.0,0.09,0.8741758118173548,0.91
1.0,0.0,2.0,0.09,0.9086912667044464,0.91
0.2,0.0,1.0,0.095,0.8850226308785025,0.905
1.0,0.0,1.0,0.095,0.9042334852937837,0.905
0.2,0.0,2.0,0.095,0.8632352644356478,0.905
1.0,0.0,2.0,0.095,0.9034720760428789,0.905
0.2,0.0,1.0,0.1,0.8768906570672924,0.9
1.0,0.0,1.0,0.1,0.8991121992166754,0.9
0.2,0.0,2.0,0.1,0.8517739722145807,0.9
1.0,0.0,2.0,0.1,0.8982312654436468,0.9
0.2,0.0,1.0,0.105,0.8684882535580969,0.895
1.0,0.0,1.0,0.105,0.8939795422527601,0.895
