rho,delta,beta,alpha,mmse,mse_ridge_opt,alpha_LR
0.2,0.5,1.0,0.0,1.0,1.0,0.0
0.2,0.5,1.0,0.002,0.998661123003657,0.9986672595225164,0.005
0.2,0.5,1.0,0.004,0.9973284448610651,0.9973357058088184,0.01
0.2,0.5,1.0,0.006,0.9960040181520036,0.9960053404348997,0.015
0.2,0.5,1.0,0.008,0.9946722266409016,0.9946761649738824,0.02
0.2,0.5,1.0,0.01,0.9933411845819539,0.9933481809959853,0.024999999999999998
0.2,0.5,1.0,0.012,0.9920089702600463,0.9920213900684927,0.03
0.2,0.5,1.0,0.014,0.9906762801119717,0.9906957937557226,0.034999999999999996
0.2,0.5,1.0,0.016,0.9893418626496656,0.9893713936189958,0.04
0.2,0.5,1.0,0.018,0.9880025409675399,0.9880481912166041,0.04499999999999999
0.2,0.5,1.0,0.02,0.9866687643079814,0.9867261881037788,0.049999999999999996
0.2,0.5,1.0,0.022,0.9853291340524216,0.9854053858326587,0.05499999999999999
0.2,0.5,1.0,0.024,0.9839868178960525,0.9840857859522589,0.06
0.2,0.5,1.0,0.026,0.9826420442903516,0.9827673900084396,0.06499999999999999
0.2,0.5,1.0,0.028,0.9812940490996983,0.9814501995438729,0.06999999999999999
0.2,0.5,1.0,0.03,0.9799427115018547,0.9801342160980128,0.075
0.2,0.5,1.0,0.032,0.9785874811554678,0.978819441207062,0.08
0.2,0.5,1.0,0.034,0.9772283885925176,0.9775058764039408,0.085
0.2,0.5,1.0,0.036,0.9758649184927661,0.9761935232182554,0.08999999999999998
0.2,0.5,1.0,0.038,0.9744967892709074,0.9748823831762653,0.09499999999999999
0.2,0.5,1.0,0.04,0.9731238930283023,0.9735724578008521,0.09999999999999999
0.2,0.5,1.0,0.042,0.9717457022358164,0.9722637486114871,0.105
0.2,0.5,1.0,0.044,0.970362143363775,0.9709562571241998,0.10999999999999999
0.2,0.5,1.0,0.046,0.9689727255052033,0.969649984851545,0.11499999999999999
0.2,0.5,1.0,0.048,0.9675773646630071,0.968344933302572,0.12
0.2,0.5,1.0,0.05,0.9661757182544678,0.9670411039827915,0.125
0.2,0.5,1.0,0.052,0.9647674898079716,0.9657384983941443,0.12999999999999998
0.2,0.5,1.0,0.054,0.9633526041010566,0.9644371180349687,0.13499999999999998
0.2,0.5,1.0,0.056,0.9619302990395782,0.9631369643999684,0.13999999999999999
0.2,0.5,1.0,0.058,0.9605008011956615,0.9618380389801808,0.145
0.2,0.5,1.0,0.06,0.9590636575244479,0.9605403432629447,0.15
0.2,0.5,1.0,0.062,0.9576187310738373,0.9592438787318677,0.155
0.2,0.5,1.0,0.064,0.9561656515611149,0.9579486468667944,0.16
0.2,0.5,1.0,0.066,0.9547044829952146,0.9566546491437744,0.165
0.2,0.5,1.0,0.068,0.9532344288866269,0.9553618870350297,0.17
0.2,0.5,1.0,0.07,0.9517557330492963,0.9540703620089227,0.17500000000000002
0.2,0.5,1.0,0.072,0.950267902974316,0.9527800755299238,0.17999999999999997
0.2,0.5,1.0,0.074,0.948771130937201,0.9514910290585797,0.18499999999999997
0.2,0.5,1.0,0.076,0.9472647535018104,0.9502032240514803,0.18999999999999997
0.2,0.5,1.0,0.078,0.9457488775644567,0.9489166619612271,0.19499999999999998
0.2,0.5,1.0,0.08,0.9442011936942969,0.947631344236401,0.19999999999999998
0.2,0.5,1.0,0.082,0.9426873145304825,0.9463472723215296,0.205
0.2,0.5,1.0,0.084,0.9411414302642288,0.9450644476570553,0.21
0.2,0.5,1.0,0.086,0.9395851433324499,0.9437828716793029,0.21499999999999997
0.2,0.5,1.0,0.088,0.938018348711522,0.9425025458204472,0.21999999999999997
0.2,0.5,1.0,0.09,0.9364408853408733,0.9412234715084816,0.22499999999999998
0.2,0.5,1.0,0.092,0.9348526440822967,0.9399456501671846,0.22999999999999998
0.2,0.5,1.0,0.094,0.9332534225412337,0.9386690832160884,0.235
0.2,0.5,1.0,0.096,0.9316431032846382,0.9373937720704466,0.24
0.2,0.5,1.0,0.098,0.930021651080261,0.9361197181412018,0.245
0.2,0.5,1.0,0.1,0.9283887885792651,0.9348469228349534,0.25
0.2,0.5,1.0,0.102,0.9267445686834705,0.9335753875539257,0.25499999999999995
0.2,0.5,1.0,0.104,0.9250887962607878,0.9323051136959349,0.25999999999999995
0.2,0.5,1.0,0.106,0.9234214161004853,0.9310361026543585,0.26499999999999996
0.2,0.5,1.0,0.108,0.9217423793308709,0.9297683558181015,0.26999999999999996
0.2,0.5,1.0,0.11,0.9200516219485715,0.9285018745715651,0.27499999999999997
0.2,0.5,1.0,0.112,0.9183490158695682,0.9272366602946146,0.27999999999999997
0.2,0.5,1.0,0.114,0.916634535864443,0.925972714362547,0.285
0.2,0.5,1.0,0.116,0.9149081460411316,0.9247100381460596,0.29
0.2,0.5,1.0,0.118,0.9131698899526286,0.9234486330112167,0.295
0.2,0.5,1.0,0.12,0.9114195876205216,0.9221885003194191,0.3
0.2,0.5,1.0,0.122,0.9096573608057656,0.9209296414273711,0.305
0.2,0.5,1.0,0.124,0.9078831635725861,0.9196720576870487,0.31
0.2,0.5,1.0,0.126,0.90609696737441,0.9184157504456683,0.315
0.2,0.5,1.0,0.128,0.9042988475414059,0.9171607210456535,0.32
0.2,0.5,1.0,0.13,0.9024887342150252,0.915906970824605,0.325
0.2,0.5,1.0,0.132,0.9006667318671205,0.9146545011152672,0.33
0.2,0.5,1.0,0.134,0.898832769880398,0.9134033132454973,0.335
0.2,0.5,1.0,0.136,0.8969871408501564,0.9121534085382331,0.34
0.2,0.5,1.0,0.138,0.8951265163931392,0.9109047883114619,0.34500000000000003
0.2,0.5,1.0,0.14,0.893260375509482,0.909657453878188,0.35000000000000003
0.2,0.5,1.0,0.142,0.8913795100379519,0.9084114065464016,0.3549999999999999
0.2,0.5,1.0,0.144,0.889487044985027,0.9071666476190474,0.35999999999999993
0.2,0.5,1.0,0.146,0.8875831007603593,0.9059231783939924,0.36499999999999994
0.2,0.5,1.0,0.148,0.8856677136979343,0.9046810001639949,0.36999999999999994
0.2,0.5,1.0,0.15,0.8837409999239615,0.9034401142166733,0.37499999999999994
0.2,0.5,1.0,0.152,0.8818031292689372,0.9022005218344739,0.37999999999999995
0.2,0.5,1.0,0.154,0.8798540877806944,0.9009622242946401,0.38499999999999995
0.2,0.5,1.0,0.156,0.8778940944994811,0.8997252228691816,0.38999999999999996
0.2,0.5,1.0,0.158,0.875923226406032,0.8984895188248418,0.39499999999999996
0.2,0.5,1.0,0.16,0.8739415923169104,0.8972551134230683,0.39999999999999997
0.2,0.5,1.0,0.162,0.871949327962267,0.8960220079199803,0.40499999999999997
0.2,0.5,1.0,0.164,0.8699465854623232,0.8947902035663386,0.41
0.2,0.5,1.0,0.166,0.8679334327577404,0.8935597016075141,0.415
0.2,0.5,1.0,0.168,0.8659101772335679,0.892330503283457,0.42
0.2,0.5,1.0,0.17,0.8638768222527781,0.8911026098286661,0.425
0.2,0.5,1.0,0.172,0.8618335509952195,0.8898760224721575,0.42999999999999994
0.2,0.5,1.0,0.174,0.8597805328138519,0.8886507424374346,0.43499999999999994
0.2,0.5,1.0,0.176,0.8577179234813059,0.887426770942457,0.43999999999999995
0.2,0.5,1.0,0.178,0.8556458476642059,0.8862041091996101,0.44499999999999995
0.2,0.5,1.0,0.18,0.8535644747417604,0.8849827584156743,0.44999999999999996
0.2,0.5,1.0,0.182,0.8514741994760969,0.883762719791795,0.45499999999999996
0.2,0.5,1.0,0.184,0.8493748291101784,0.882543994523452,0.45999999999999996
0.2,0.5,1.0,0.186,0.8472667295181563,0.881326583800429,0.46499999999999997
0.2,0.5,1.0,0.188,0.8451500894062614,0.8801104888067842,0.47
0.2,0.5,1.0,0.19,0.8430250359467109,0.8788957107208192,0.475
0.2,0.5,1.0,0.192,0.8408917470168626,0.8776822507150497,0.48
0.2,0.5,1.0,0.194,0.8387504639573841,0.876470109956175,0.485
0.2,0.5,1.0,0.196,0.8366013079972587,0.8752592896050488,0.49
0.2,0.5,1.0,0.198,0.8344444872633627,0.8740497908166491,0.495
0.2,0.5,1.0,0.2,0.8322801663173348,0.872841614740048,0.5
0.2,0.5,1.0,0.202,0.8301085665040194,0.8716347625183831,0.505
0.2,0.5,1.0,0.204,0.8279298577642171,0.8704292352888274,0.5099999999999999
0.2,0.5,1.0,0.206,0.8257442445962551,0.86922503418256,0.5149999999999999
0.2,0.5,1.0,0.208,0.8235518726455449,0.8680221603247369,0.5199999999999999
0.2,0.5,1.0,0.21,0.821353000323727,0.8668206148344615,0.5249999999999999
0.2,0.5,1.0,0.212,0.8191477606865372,0.865620398824756,0.5299999999999999
0.2,0.5,1.0,0.214,0.8169363934842924,0.8644215134025323,0.5349999999999999
0.2,0.5,1.0,0.216,0.8147190372515578,0.8632239596685622,0.5399999999999999
0.2,0.5,1.0,0.218,0.8124959248398427,0.8620277387174504,0.5449999999999999
