rho,delta,beta,alpha,mmse,mse_ridge_opt
0.1,0.0,2.0,0.0,1.0,1.0
0.2,0.0,2.0,0.0,1.0,1.0
0.5,0.0,2.0,0.0,1.0,1.0
1.0,0.0,2.0,0.0,1.0,1.0
2.0,0.0,2.0,0.0,1.0,1.0
0.1,0.0,2.0,0.005,0.9949754325982719,0.995
0.2,0.0,2.0,0.005,0.9949941871146519,0.995
0.5,0.0,2.0,0.005,0.9949994161146597,0.995
1.0,0.0,2.0,0.005,0.9950001624157294,0.995
2.0,0.0,2.0,0.005,0.9950003489718331,0.995
0.1,0.0,2.0,0.01,0.9897990653116209,0.99
0.2,0.0,2.0,0.01,0.9899506367760456,0.99
0.5,0.0,2.0,0.01,0.9899923698798409,0.99
1.0,0.0,2.0,0.01,0.9899983116510568,0.99
2.0,0.0,2.0,0.01,0.9899997965420587,0.99
0.1,0.0,2.0,0.015,0.9843113503509165,0.985
0.2,0.0,2.0,0.015,0.9848328343876382,0.985
0.5,0.0,2.0,0.015,0.9849736433840792,0.985
1.0,0.0,2.0,0.015,0.9849936003168505,0.985
2.0,0.0,2.0,0.015,0.9849985855787526,0.985
0.1,0.0,2.0,0.02,0.9783333715954999,0.98
0.2,0.0,2.0,0.02,0.9796033783538504,0.98
0.5,0.0,2.0,0.02,0.979937461445925,0.98
1.0,0.0,2.0,0.02,0.9799845423458157,0.98
2.0,0.0,2.0,0.02,0.9799962966873635,0.98
0.1,0.0,2.0,0.025,0.9716601500518321,0.975
0.2,0.0,2.0,0.025,0.9742243337259823,0.975
0.5,0.0,2.0,0.025,0.9748782283154439,0.975
1.0,0.0,2.0,0.025,0.9749697466362633,0.975
2.0,0.0,2.0,0.025,0.9749925803394026,0.975
0.1,0.0,2.0,0.03,0.964058912588563,0.97
0.2,0.0,2.0,0.03,0.9686571023849916,0.97
0.5,0.0,2.0,0.03,0.9697904670419686,0.97
1.0,0.0,2.0,0.03,0.9699478540351711,0.97
2.0,0.0,2.0,0.03,0.9699870931123702,0.97
0.1,0.0,2.0,0.035,0.9552765713722609,0.965
0.2,0.0,2.0,0.035,0.9628625283788832,0.965
0.5,0.0,2.0,0.035,0.9646688319803578,0.965
1.0,0.0,2.0,0.035,0.9649175430726072,0.965
2.0,0.0,2.0,0.035,0.9649795022057709,0.965
0.1,0.0,2.0,0.04,0.9450568081423975,0.96
0.2,0.0,2.0,0.04,0.956801248575249,0.96
0.5,0.0,2.0,0.04,0.9595081183691282,0.96
1.0,0.0,2.0,0.04,0.9598775302023272,0.96
2.0,0.0,2.0,0.04,0.9599694844221606,0.96
0.1,0.0,2.0,0.045,0.9331614690392218,0.955
0.2,0.0,2.0,0.045,0.9504342701830518,0.955
0.5,0.0,2.0,0.045,0.954303275373344,0.955
1.0,0.0,2.0,0.045,0.9548265708907677,0.955
2.0,0.0,2.0,0.045,0.9549567259107985,0.955
0.1,0.0,2.0,0.05,0.9193870130651112,0.95
0.2,0.0,2.0,0.05,0.943723813684339,0.95
0.5,0.0,2.0,0.05,0.9490494217783566,0.95
1.0,0.0,2.0,0.05,0.9497634610308788,0.95
2.0,0.0,2.0,0.05,0.9499409221671871,0.95
0.1,0.0,2.0,0.055,0.9035702073212188,0.945
0.2,0.0,2.0,0.055,0.9366341758485923,0.945
0.5,0.0,2.0,0.055,0.9437418637675614,0.945
1.0,0.0,2.0,0.055,0.9446870385059879,0.945
2.0,0.0,2.0,0.055,0.9449217781325828,0.945
