rho,delta,beta,alpha,mmse,mse_ridge_opt,alpha_LR
0.1,0.0,5.0,0.0,1.0,1.0,0.0
0.2,0.0,5.0,0.0,1.0,1.0,0.0
0.5,0.0,5.0,0.0,1.0,1.0,0.0
1.0,0.0,5.0,0.0,1.0,1.0,0.0
2.0,0.0,5.0,0.0,1.0,1.0,0.0
0.1,0.0,5.0,0.0006000000000000001,0.9993999888240493,0.9994,0.005
0.2,0.0,5.0,0.0012000000000000001,0.9988000684007914,0.9988,0.005
0.5,0.0,5.0,0.003,0.9969997617829149,0.997,0.005
1.0,0.0,5.0,0.006,0.993999179997151,0.994,0.005
2.0,0.0,5.0,0.012,0.9879980667690529,0.988,0.005
0.1,0.0,5.0,0.0012000000000000001,0.9987994206543627,0.9988,0.01
0.2,0.0,5.0,0.0024000000000000002,0.9975985836281379,0.9976,0.01
0.5,0.0,5.0,0.006,0.9939959581835263,0.994,0.01
1.0,0.0,5.0,0.012,0.9879916654758828,0.988,0.01
2.0,0.0,5.0,0.024,0.9759833032617581,0.976,0.01
0.1,0.0,5.0,0.0018000000000000002,0.9981973949890802,0.9982,0.015
0.2,0.0,5.0,0.0036000000000000003,0.9963944722607299,0.9964,0.015
0.5,0.0,5.0,0.009,0.9909857593944149,0.991,0.015
1.0,0.0,5.0,0.018,0.9819715477244012,0.982,0.015
2.0,0.0,5.0,0.036,0.9639440447404103,0.964,0.015
0.1,0.0,5.0,0.0024000000000000002,0.9975933956630579,0.9976,0.02
0.2,0.0,5.0,0.0048000000000000004,0.9951864837312142,0.9952,0.02
0.5,0.0,5.0,0.012,0.9879660205489164,0.988,0.02
1.0,0.0,5.0,0.024,0.9759327472777769,0.976,0.02
2.0,0.0,5.0,0.048,0.9518691043785095,0.952,0.02
0.1,0.0,5.0,0.0030000000000000005,0.9969867879261082,0.997,0.025
0.2,0.0,5.0,0.006000000000000001,0.9939733262103605,0.994,0.025
0.5,0.0,5.0,0.015000000000000003,0.9849335951840082,0.985,0.025
1.0,0.0,5.0,0.030000000000000006,0.9698693770133868,0.97,0.025
2.0,0.0,5.0,0.06000000000000001,0.9397481527960156,0.94,0.025
0.1,0.0,5.0,0.0036000000000000003,0.996376915324071,0.9964,0.03
0.2,0.0,5.0,0.007200000000000001,0.9927536974352367,0.9928,0.03
0.5,0.0,5.0,0.018,0.9818853899675201,0.982,0.03
1.0,0.0,5.0,0.036,0.9637757525328952,0.964,0.03
