rho,delta,beta,alpha,mmse,mse_ridge_opt,alpha_LR
0.05,0.1,1.0,0.0,1.0,1.0,0.0
0.05,0.1,1.0,0.0004,0.9996372853914888,0.9996363756609778,0.004
0.05,0.1,1.0,0.0008,0.9992732701739946,0.9992727753855015,0.008
0.05,0.1,1.0,0.0012000000000000001,0.9989092068356145,0.9989091991950635,0.012
0.05,0.1,1.0,0.0016,0.9985448718548697,0.998545647111179,0.016
0.05,0.1,1.0,0.002,0.9981801232312526,0.9981821191553855,0.02
0.05,0.1,1.0,0.0024000000000000002,0.9978148352890946,0.997818615349243,0.024
0.05,0.1,1.0,0.0028000000000000004,0.9974488874106147,0.997455135714334,0.028
0.05,0.1,1.0,0.0032,0.9970821607829229,0.9970916802722637,0.032
0.05,0.1,1.0,0.0036,0.9967145371472244,0.9967282490446595,0.036
0.05,0.1,1.0,0.004,0.9963458981978052,0.9963648420531718,0.04
0.05,0.1,1.0,0.0044,0.9959761252413053,0.9960014593194731,0.044
0.05,0.1,1.0,0.0048000000000000004,0.9956050989666089,0.9956381008652592,0.048
0.05,0.1,1.0,0.0052,0.9952326992711099,0.9952747667122478,0.052
0.05,0.1,1.0,0.005600000000000001,0.9948588051151955,0.9949114568821799,0.056
0.05,0.1,1.0,0.006,0.994483294395134,0.9945481713968187,0.06
0.05,0.1,1.0,0.0064,0.9941060438221573,0.9941849102779505,0.064
0.05,0.1,1.0,0.0068000000000000005,0.9937269288100214,0.9938216735473843,0.068
0.05,0.1,1.0,0.0072,0.9933458233651864,0.9934584612269515,0.072
0.05,0.1,1.0,0.0076,0.9929625999781824,0.9930952733385068,0.076
0.05,0.1,1.0,0.008,0.9925771295181988,0.9927321099039272,0.08
0.05,0.1,1.0,0.008400000000000001,0.9921892811275885,0.9923689709451132,0.084
0.05,0.1,1.0,0.0088,0.9917989221169267,0.9920058564839875,0.088
0.05,0.1,1.0,0.0092,0.9914059178607898,0.9916427665424962,0.092
0.05,0.1,1.0,0.009600000000000001,0.9910101316933622,0.9912797011426079,0.096
0.05,0.1,1.0,0.010000000000000002,0.9906114248044777,0.9909166603063145,0.1
0.05,0.1,1.0,0.0104,0.9902096561355241,0.9905536440556306,0.104
0.05,0.1,1.0,0.0108,0.9898046933009097,0.9901906524125941,0.108
0.05,0.1,1.0,0.011200000000000002,0.9893963714475796,0.9898276853992654,0.112
0.05,0.1,1.0,0.011600000000000001,0.9889845509057991,0.9894647430377285,0.116
0.05,0.1,1.0,0.012,0.9885690807793297,0.98910182535009,0.12
0.05,0.1,1.0,0.012400000000000001,0.9881498074487135,0.98873893235848,0.124
0.05,0.1,1.0,0.0128,0.9877265744768767,0.9883760640850514,0.128
0.05,0.1,1.0,0.013200000000000002,0.9872992225167996,0.9880132205519804,0.132
0.05,0.1,1.0,0.013600000000000001,0.9868675892209708,0.9876504017814662,0.136
0.05,0.1,1.0,0.014000000000000002,0.9864315091536653,0.9872876077957314,0.14
0.05,0.1,1.0,0.0144,0.9859908137058054,0.9869248386170217,0.144
0.05,0.1,1.0,0.0148,0.985545331013428,0.9865620942676061,0.148
