rho,delta,beta,alpha,mmse,mse_ridge_opt,alpha_LR
0.1,0.0,1.0,0.0,1.0,1.0,0.0
0.2,0.0,1.0,0.0,1.0,1.0,0.0
0.5,0.0,1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,0.0,1.0,1.0,0.0
2.0,0.0,1.0,0.0,1.0,1.0,0.0
0.1,0.0,1.0,0.005,0.9949877792763376,0.995,0.024999999999999998
0.2,0.0,1.0,0.005,0.9949971306162497,0.995,0.012499999999999999
0.5,0.0,1.0,0.005,0.994999743643688,0.995,0.005
1.0,0.0,1.0,0.005,0.9950001167762674,0.995,0.0025
2.0,0.0,1.0,0.005,0.9950002100573352,0.995,0.00125
0.1,0.0,1.0,0.01,0.9899004150152731,0.99,0.049999999999999996
0.2,0.0,1.0,0.01,0.9899753753287793,0.99,0.024999999999999998
0.5,0.0,1.0,0.01,0.989996200915132,0.99,0.01
1.0,0.0,1.0,0.01,0.9899991710843078,0.99,0.005
2.0,0.0,1.0,0.01,0.9899999135349157,0.99,0.0025
0.1,0.0,1.0,0.015,0.9846621393947963,0.985,0.075
0.2,0.0,1.0,0.015,0.9849167763547638,0.985,0.0375
0.5,0.0,1.0,0.015,0.9849868406579776,0.985,0.015
1.0,0.0,1.0,0.015,0.9849968138670481,0.985,0.0075
2.0,0.0,1.0,0.015,0.9849993065069552,0.985,0.00375
0.1,0.0,1.0,0.02,0.9791934142153187,0.98,0.09999999999999999
0.2,0.0,1.0,0.02,0.9798031053646329,0.98,0.049999999999999996
0.5,0.0,1.0,0.02,0.9799687623412365,0.98,0.02
1.0,0.0,1.0,0.02,0.9799922816963106,0.98,0.01
2.0,0.0,1.0,0.02,0.9799981589285103,0.98,0.005
0.1,0.0,1.0,0.025,0.9734097357684874,0.975,0.125
0.2,0.0,1.0,0.025,0.9746163027055582,0.975,0.0625
0.5,0.0,1.0,0.025,0.9749391830695372,0.975,0.025
1.0,0.0,1.0,0.025,0.9749848812874424,0.975,0.0125
