rho,delta,beta,alpha,mmse,mse_ridge_opt,alpha_LR
0.05,0.0,5.0,0.0,1.0,1.0,0.0
0.05,0.0,5.0,0.001,0.9989982551151506,0.999,0.016666666666666666
0.05,0.0,5.0,0.002,0.997984222938149,0.998,0.03333333333333333
0.05,0.0,5.0,0.003,0.9969455498676458,0.997,0.049999999999999996
0.05,0.0,5.0,0.004,0.9958689298627013,0.996,0.06666666666666667
0.05,0.0,5.0,0.005,0.9947396199576362,0.995,0.08333333333333333
0.05,0.0,5.0,0.006,0.9935409278756872,0.994,0.09999999999999999
0.05,0.0,5.0,0.007,0.9922535043637772,0.993,0.11666666666666667
0.05,0.0,5.0,0.008,0.9908546277355965,0.992,0.13333333333333333
0.05,0.0,5.0,0.009,0.9893173171947099,0.991,0.15
0.05,0.0,5.0,0.01,0.9876094309739555,0.99,0.16666666666666666
0.05,0.0,5.0,0.011,0.9856928170502334,0.989,0.1833333333333333
0.05,0.0,5.0,0.012,0.9835226729523525,0.988,0.19999999999999998
0.05,0.0,5.0,0.013,0.9810474455929337,0.987,0.21666666666666667
0.05,0.0,5.0,0.014,0.9782093159259457,0.986,0.23333333333333334
0.05,0.0,5.0,0.015,0.9749455437247871,0.985,0.24999999999999997
0.05,0.0,5.0,0.016,0.9711904119007468,0.984,0.26666666666666666
0.05,0.0,5.0,0.017,0.9668774388509794,0.983,0.2833333333333333
0.05,0.0,5.0,0.018,0.9619414362946099,0.982,0.3
0.05,0.0,5.0,0.019,0.9563199483048611,0.981,0.31666666666666665
0.05,0.0,5.0,0.02,0.949954099580036,0.98,0.3333333333333333
0.05,0.0,5.0,0.021,0.9427886703573003,0.979,0.35000000000000003
0.05,0.0,5.0,0.022,0.9347716456924442,0.978,0.3666666666666666
0.05,0.0,5.0,0.023,0.9258533525220257,0.977,0.3833333333333333
0.05,0.0,5.0,0.024,0.9159853174868293,0.976,0.39999999999999997
0.05,0.0,5.0,0.025,0.9051189664117893,0.975,0.41666666666666663
0.05,0.0,5.0,0.026,0.893204101738008,0.974,0.43333333333333335
0.05,0.0,5.0,0.027,0.880187412662454,0.973,0.45
0.05,0.0,5.0,0.028,0.8660107559461536,0.972,0.4666666666666667
0.05,0.0,5.0,0.029,0.8506093874157475,0.971,0.4833333333333334
0.05,0.0,5.0,0.03,0.8339101290070572,0.97,0.49999999999999994
0.05,0.0,5.0,0.031,0.8158296425513553,0.969,0.5166666666666666
0.05,0.0,5.0,0.032,0.7962732611514071,0.968,0.5333333333333333
0.05,0.0,5.0,0.033,0.7751355318300267,0.967,0.5499999999999999
0.05,0.0,5.0,0.034,0.7523055485856676,0.966,0.5666666666666667
0.05,0.0,5.0,0.035,0.7276850302312339,0.965,0.5833333333333334
0.05,0.0,5.0,0.036,0.7012469104030942,0.964,0.6
0.05,0.0,5.0,0.037,0.673252812344258,0.963,0.6166666666666667
0.05,0.0,5.0,0.038,0.6441409649068204,0.962,0.6333333333333333
0.05,0.0,5.0,0.039,0.6141914476468858,0.961,0.65
0.05,0.0,5.0,0.04,0.583620056238746,0.96,0.6666666666666666
0.05,0.0,5.0,0.041,0.5526054323271063,0.959,0.6833333333333333
0.05,0.0,5.0,0.042,0.5212984056896106,0.958,0.7000000000000001
0.05,0.0,5.0,0.043,0.4898269536295582,0.957,0.7166666666666666
0.05,0.0,5.0,0.044,0.4582991362274319,0.956,0.7333333333333332
0.05,0.0,5.0,0.045,0.4268057534562044,0.955,0.7499999999999999
0.05,0.0,5.0,0.046,0.3954222223521068,0.954,0.7666666666666666
0.05,0.0,5.0,0.047,0.3642105688092818,0.953,0.7833333333333332
0.05,0.0,5.0,0.048,0.333220985783232,0.952,0.7999999999999999
0.05,0.0,5.0,0.049,0.3024933825633047,0.951,0.8166666666666667
0.05,0.0,5.0,0.05,0.2720589125973748,0.95,0.8333333333333333
0.05,0.0,5.0,0.051,0.2419411278288397,0.949,0.85
0.05,0.0,5.0,0.052,0.21215716606390622,0.948,0.8666666666666667
0.05,0.0,5.0,0.053,0.18271882743307966,0.947,0.8833333333333333
0.05,0.0,5.0,0.054,0.15363341887616577,0.946,0.9
0.05,0.0,5.0,0.055,0.12490451068560504,0.945,0.9166666666666667
0.05,0.0,5.0,0.056,0.09653275646082604,0.944,0.9333333333333333
0.05,0.0,5.0,0.057,0.06851627703428576,0.943,0.9500000000000001
0.05,0.0,5.0,0.058,0.040851387342478396,0.942,0.9666666666666668
0.05,0.0,5.0,0.059,0.013533126088675962,0.9410000000000001,0.9833333333333333
0.05,0.0,5.0,0.06,0.0,0.94,0.9999999999999999
0.05,0.0,5.0,0.061,0.0,0.9390000000000001,1.0166666666666666
0.05,0.0,5.0,0.062,0.0,0.938,1.0333333333333332
0.05,0.0,5.0,0.063,0.0,0.937,1.0499999999999998
0.05,0.0,5.0,0.064,0.0,0.9359999999999999,1.0666666666666667
0.05,0.0,5.0,0.065,0.0,0.935,1.0833333333333333
0.05,0.0,5.0,0.066,0.0,0.9339999999999999,1.0999999999999999
0.05,0.0,5.0,0.067,0.0,0.933,1.1166666666666667
0.05,0.0,5.0,0.068,0.0,0.9319999999999999,1.1333333333333333
0.05,0.0,5.0,0.069,0.0,0.931,1.15
0.05,0.0,5.0,0.07,0.0,0.9299999999999999,1.1666666666666667
0.05,0.0,5.0,0.071,0.0,0.929,1.1833333333333333
0.05,0.0,5.0,0.072,0.0,0.928,1.2
0.05,0.0,5.0,0.073,0.0,0.927,1.2166666666666666
0.05,0.0,5.0,0.074,0.0,0.926,1.2333333333333334
0.05,0.0,5.0,0.075,0.0,0.925,1.25
0.05,0.0,5.0,0.076,0.0,0.924,1.2666666666666666
0.05,0.0,5.0,0.077,0.0,0.923,1.2833333333333332
0.05,0.0,5.0,0.078,0.0,0.922,1.3
0.05,0.0,5.0,0.079,0.0,0.921,1.3166666666666667
0.05,0.0,5.0,0.08,0.0,0.92,1.3333333333333333
0.05,0.0,5.0,0.081,0.0,0.919,1.35
0.05,0.0,5.0,0.082,0.0,0.918,1.3666666666666667
0.05,0.0,5.0,0.083,0.0,0.917,1.3833333333333333
0.05,0.0,5.0,0.084,0.0,0.916,1.4000000000000001
0.05,0.0,5.0,0.085,0.0,0.915,1.4166666666666667
0.05,0.0,5.0,0.086,0.0,0.914,1.4333333333333331
0.05,0.0,5.0,0.087,0.0,0.913,1.4499999999999997
0.05,0.0,5.0,0.088,0.0,0.912,1.4666666666666663
0.05,0.0,5.0,0.089,0.0,0.911,1.4833333333333332
0.05,0.0,5.0,0.09,0.0,0.91,1.4999999999999998
0.05,0.0,5.0,0.091,0.0,0.909,1.5166666666666664
0.05,0.0,5.0,0.092,0.0,0.908,1.5333333333333332
0.05,0.0,5.0,0.093,0.0,0.907,1.5499999999999998
0.05,0.0,5.0,0.094,0.0,0.906,1.5666666666666664
0.05,0.0,5.0,0.095,0.0,0.905,1.5833333333333333
0.05,0.0,5.0,0.096,0.0,0.904,1.5999999999999999
0.05,0.0,5.0,0.097,0.0,0.903,1.6166666666666665
0.05,0.0,5.0,0.098,0.0,0.902,1.6333333333333333
0.05,0.0,5.0,0.099,0.0,0.901,1.65
0.05,0.0,5.0,0.1,0.0,0.9,1.6666666666666665
0.05,0.0,5.0,0.101,0.0,0.899,1.6833333333333333
0.05,0.0,5.0,0.102,0.0,0.898,1.7
0.05,0.0,5.0,0.103,0.0,0.897,1.7166666666666666
0.05,0.0,5.0,0.104,0.0,0.896,1.7333333333333334
0.05,0.0,5.0,0.105,0.0,0.895,1.75
0.05,0.0,5.0,0.106,0.0,0.894,1.7666666666666666
0.05,0.0,5.0,0.107,0.0,0.893,1.7833333333333334
0.05,0.0,5.0,0.108,0.0,0.892,1.8
0.05,0.0,5.0,0.109,0.0,0.891,1.8166666666666667
0.05,0.0,5.0,0.11,0.0,0.89,1.8333333333333335
0.05,0.0,5.0,0.111,0.0,0.889,1.85
0.05,0.0,5.0,0.112,0.0,0.888,1.8666666666666667
0.05,0.0,5.0,0.113,0.0,0.887,1.8833333333333335
0.05,0.0,5.0,0.114,0.0,0.886,1.9000000000000001
0.05,0.0,5.0,0.115,0.0,0.885,1.9166666666666667
0.05,0.0,5.0,0.116,0.0,0.884,1.9333333333333336
0.05,0.0,5.0,0.117,0.0,0.883,1.9500000000000002
0.05,0.0,5.0,0.118,0.0,0.882,1.9666666666666666
0.05,0.0,5.0,0.119,0.0,0.881,1.9833333333333332
0.05,0.0,5.0,0.12,0.0,0.88,1.9999999999999998
0.05,0.0,5.0,0.121,0.0,0.879,2.0166666666666666
0.05,0.0,5.0,0.122,0.0,0.878,2.033333333333333
0.05,0.0,5.0,0.123,0.0,0.877,2.05
0.05,0.0,5.0,0.124,0.0,0.876,2.0666666666666664
0.05,0.0,5.0,0.125,0.0,0.875,2.0833333333333335
0.05,0.0,5.0,0.126,0.0,0.874,2.0999999999999996
0.05,0.0,5.0,0.127,0.0,0.873,2.1166666666666667
0.05,0.0,5.0,0.128,0.0,0.872,2.1333333333333333
0.05,0.0,5.0,0.129,0.0,0.871,2.15
0.05,0.0,5.0,0.13,0.0,0.87,2.1666666666666665
0.05,0.0,5.0,0.131,0.0,0.869,2.1833333333333336
0.05,0.0,5.0,0.132,0.0,0.868,2.1999999999999997
0.05,0.0,5.0,0.133,0.0,0.867,2.216666666666667
0.05,0.0,5.0,0.134,0.0,0.866,2.2333333333333334
0.05,0.0,5.0,0.135,0.0,0.865,2.25
0.05,0.0,5.0,0.136,0.0,0.864,2.2666666666666666
0.05,0.0,5.0,0.137,0.0,0.863,2.2833333333333337
0.05,0.0,5.0,0.138,0.0,0.862,2.3
0.05,0.0,5.0,0.139,0.0,0.861,2.316666666666667
0.05,0.0,5.0,0.14,0.0,0.86,2.3333333333333335
0.05,0.0,5.0,0.141,0.0,0.859,2.3499999999999996
0.05,0.0,5.0,0.142,0.0,0.858,2.3666666666666667
0.05,0.0,5.0,0.143,0.0,0.857,2.383333333333333
0.05,0.0,5.0,0.144,0.0,0.856,2.4
0.05,0.0,5.0,0.145,0.0,0.855,2.4166666666666665
0.05,0.0,5.0,0.146,0.0,0.854,2.433333333333333
0.05,0.0,5.0,0.147,0.0,0.853,2.4499999999999997
0.05,0.0,5.0,0.148,0.0,0.852,2.466666666666667
0.05,0.0,5.0,0.149,0.0,0.851,2.483333333333333
0.05,0.0,5.0,0.15,0.0,0.85,2.5
0.05,0.0,5.0,0.151,0.0,0.849,2.516666666666666
0.05,0.0,5.0,0.152,0.0,0.848,2.533333333333333
0.05,0.0,5.0,0.153,0.0,0.847,2.55
0.05,0.0,5.0,0.154,0.0,0.846,2.5666666666666664
0.05,0.0,5.0,0.155,0.0,0.845,2.5833333333333335
0.05,0.0,5.0,0.156,0.0,0.844,2.6
0.05,0.0,5.0,0.157,0.0,0.843,2.6166666666666663
0.05,0.0,5.0,0.158,0.0,0.842,2.6333333333333333
0.05,0.0,5.0,0.159,0.0,0.841,2.65
0.05,0.0,5.0,0.16,0.0,0.84,2.6666666666666665
0.05,0.0,5.0,0.161,0.0,0.839,2.6833333333333336
0.05,0.0,5.0,0.162,0.0,0.838,2.7
0.05,0.0,5.0,0.163,0.0,0.837,2.7166666666666663
0.05,0.0,5.0,0.164,0.0,0.836,2.7333333333333334
0.05,0.0,5.0,0.165,0.0,0.835,2.75
0.05,0.0,5.0,0.166,0.0,0.834,2.7666666666666666
0.05,0.0,5.0,0.167,0.0,0.833,2.7833333333333337
0.05,0.0,5.0,0.168,0.0,0.832,2.8000000000000003
0.05,0.0,5.0,0.169,0.0,0.831,2.8166666666666664
0.05,0.0,5.0,0.17,0.0,0.83,2.8333333333333335
0.05,0.0,5.0,0.171,0.0,0.829,2.85
0.05,0.0,5.0,0.172,0.0,0.8280000000000001,2.8666666666666663
0.05,0.0,5.0,0.173,0.0,0.827,2.8833333333333333
0.05,0.0,5.0,0.174,0.0,0.8260000000000001,2.8999999999999995
0.05,0.0,5.0,0.175,0.0,0.825,2.9166666666666665
0.05,0.0,5.0,0.176,0.0,0.8240000000000001,2.9333333333333327
0.05,0.0,5.0,0.177,0.0,0.823,2.9499999999999997
0.05,0.0,5.0,0.178,0.0,0.8220000000000001,2.9666666666666663
0.05,0.0,5.0,0.179,0.0,0.821,2.9833333333333334
0.05,0.0,5.0,0.18,0.0,0.8200000000000001,2.9999999999999996
0.05,0.0,5.0,0.181,0.0,0.819,3.0166666666666666
