rho,delta,beta,alpha,mmse,mse_ridge_opt,alpha_LR
2,0.0,1.0,0.0,1.0,1.0,0.0
2,0.0,2.0,0.0,1.0,1.0,0.0
2,0.0,5.0,0.0,1.0,1.0,0.0
2,0.0,10.0,0.0,1.0,1.0,0.0
2,0.0,100.0,0.0,1.0,1.0,0.0
2,0.0,1000.0,0.0,1.0,1.0,0.0
2,0.0,Inf,0.0,1.0,1.0,0.0
2,0.0,1.0,0.005,0.9950002100573352,0.995,0.00125
2,0.0,2.0,0.005,0.9950003489718331,0.995,0.0016666666666666668
2,0.0,5.0,0.005,0.9950001123534604,0.995,0.0020833333333333333
2,0.0,10.0,0.005,0.9949999429018294,0.995,0.002272727272727273
2,0.0,100.0,0.005,0.9949973208852033,0.995,0.0024752475247524753
2,0.0,1000.0,0.005,0.9949699635981476,0.995,0.0024975024975024975
2,0.0,Inf,0.005,0.9925124999987566,0.995,0.0025
2,0.0,1.0,0.01,0.9899999135349157,0.99,0.0025
2,0.0,2.0,0.01,0.9899997965420587,0.99,0.0033333333333333335
2,0.0,5.0,0.01,0.9899989686947591,0.99,0.004166666666666667
2,0.0,10.0,0.01,0.9899977247067362,0.99,0.004545454545454546
2,0.0,100.0,0.01,0.9899756384847246,0.99,0.0049504950495049506
2,0.0,1000.0,0.01,0.9897599452113301,0.99,0.004995004995004995
2,0.0,Inf,0.01,0.9850500000001828,0.99,0.005
2,0.0,1.0,0.015,0.9849993065069552,0.985,0.00375
2,0.0,2.0,0.015,0.9849985855787526,0.985,0.005
2,0.0,5.0,0.015,0.9849960296778033,0.985,0.0062499999999999995
2,0.0,10.0,0.015,0.9849918737343393,0.985,0.006818181818181818
2,0.0,100.0,0.015,0.9849176816499516,0.985,0.007425742574257425
2,0.0,1000.0,0.015,0.9842241398808116,0.985,0.007492507492507493
2,0.0,Inf,0.015,0.9776125000002999,0.985,0.0075
2,0.0,1.0,0.02,0.9799981589285103,0.98,0.005
2,0.0,2.0,0.02,0.9799962966873635,0.98,0.006666666666666667
2,0.0,5.0,0.02,0.9799903700242586,0.98,0.008333333333333333
2,0.0,10.0,0.02,0.9799805843544109,0.98,0.009090909090909092
2,0.0,100.0,0.02,0.9798064453115195,0.98,0.009900990099009901
2,0.0,1000.0,0.02,0.9782786815135686,0.98,0.00999000999000999
2,0.0,Inf,0.02,0.9701999999999542,0.98,0.01
2,0.0,1.0,0.025,0.9749962984736154,0.975,0.00625
2,0.0,2.0,0.025,0.9749925803394026,0.975,0.008333333333333333
2,0.0,5.0,0.025,0.9749811270240172,0.975,0.010416666666666666
2,0.0,10.0,0.025,0.9749621362898018,0.975,0.011363636363636364
2,0.0,100.0,0.025,0.9746262166735734,0.975,0.012376237623762377
2,0.0,1000.0,0.025,0.9719177251042376,0.975,0.012487512487512488
2,0.0,Inf,0.025,0.9628124999999127,0.975,0.0125
2,0.0,1.0,0.03,0.9699935526102182,0.97,0.0075
2,0.0,2.0,0.03,0.9699870931123702,0.97,0.01
2,0.0,5.0,0.03,0.9699674544245032,0.97,0.012499999999999999
2,0.0,10.0,0.03,0.9699348530654637,0.97,0.013636363636363636
2,0.0,100.0,0.03,0.9693628586596064,0.97,0.01485148514851485
2,0.0,1000.0,0.03,0.9651959310646453,0.97,0.014985014985014986
2,0.0,Inf,0.03,0.9554500000000529,0.97,0.015
2,0.0,1.0,0.035,0.9649897542910167,0.965,0.00875
2,0.0,2.0,0.035,0.9649795022057709,0.965,0.011666666666666667
2,0.0,5.0,0.035,0.964948530328584,0.965,0.014583333333333335
2,0.0,10.0,0.035,0.96489711285458,0.965,0.01590909090909091
2,0.0,100.0,0.035,0.9640041607179699,0.965,0.017326732673267328
2,0.0,1000.0,0.035,0.9581941144765206,0.965,0.017482517482517484
2,0.0,Inf,0.035,0.9481125000000279,0.965,0.0175
2,0.0,1.0,0.04,0.9599847412200753,0.96,0.01
2,0.0,2.0,0.04,0.9599694844221606,0.96,0.013333333333333334
2,0.0,5.0,0.04,0.9599235576354569,0.96,0.016666666666666666
2,0.0,10.0,0.04,0.9598473516371892,0.96,0.018181818181818184
2,0.0,100.0,0.04,0.9585401488062001,0.96,0.019801980198019802
2,0.0,1000.0,0.04,0.9509922656681172,0.96,0.01998001998001998
2,0.0,Inf,0.04,0.9407999999999788,0.96,0.02
2,0.0,1.0,0.045,0.9549783556277791,0.955,0.01125
2,0.0,2.0,0.045,0.9549567259107985,0.955,0.015
2,0.0,5.0,0.045,0.9548917648126254,0.955,0.01875
2,0.0,10.0,0.045,0.9547840666729966,0.955,0.02045454545454545
2,0.0,100.0,0.045,0.9529633228047033,0.955,0.022277227722772276
2,0.0,1000.0,0.045,0.9436571534357128,0.955,0.022477522477522476
2,0.0,Inf,0.045,0.9335124999999989,0.955,0.0225
2,0.0,1.0,0.05,0.9499704442119322,0.95,0.0125
2,0.0,2.0,0.05,0.9499409221671871,0.95,0.016666666666666666
2,0.0,5.0,0.05,0.9498524067894308,0.95,0.020833333333333332
2,0.0,10.0,0.05,0.9497058200806473,0.95,0.022727272727272728
2,0.0,100.0,0.05,0.9472687854486677,0.95,0.024752475247524754
2,0.0,1000.0,0.05,0.9362398622454879,0.95,0.024975024975024976
2,0.0,Inf,0.05,0.9262500000000007,0.95,0.025
