rho,delta,beta,alpha,mmse,mse_ridge_opt,alpha_LR
0.1,0.1,1.0,0.0,1.0,1.0,0.0
0.1,0.1,2.0,0.0,1.0,1.0,0.0
0.1,0.1,5.0,0.0,1.0,1.0,0.0
0.1,0.1,10.0,0.0,1.0,1.0,0.0
0.1,0.1,100.0,0.0,1.0,1.0,0.0
0.1,0.1,1000.0,0.0,1.0,1.0,0.0
0.1,0.1,Inf,0.0,1.0,1.0,0.0
0.1,0.1,1.0,0.02,0.9812486165011389,0.9818486873657627,0.09999999999999999
0.1,0.1,2.0,0.02,0.980615688836969,0.9818486873657627,0.13333333333333333
0.1,0.1,5.0,0.02,0.9785074718939268,0.9818486873657627,0.16666666666666666
0.1,0.1,10.0,0.02,0.9742636285901648,0.9818486873657627,0.18181818181818182
0.1,0.1,100.0,0.02,0.8872682702581499,0.9818486873657627,0.198019801980198
0.1,0.1,1000.0,0.02,0.8167372577644206,0.9818486873657627,0.19980019980019978
0.1,0.1,Inf,0.02,0.8074117332239167,0.9818486873657627,0.19999999999999998
0.1,0.1,1.0,0.04,0.9588092446881082,0.9637602458033007,0.19999999999999998
0.1,0.1,2.0,0.04,0.9529620126589912,0.9637602458033007,0.26666666666666666
0.1,0.1,5.0,0.04,0.9308768976859753,0.9637602458033007,0.3333333333333333
0.1,0.1,10.0,0.04,0.8878436961410201,0.9637602458033007,0.36363636363636365
0.1,0.1,100.0,0.04,0.6735629592193646,0.9637602458033007,0.396039603960396
0.1,0.1,1000.0,0.04,0.6361682555724957,0.9637602458033007,0.39960039960039956
0.1,0.1,Inf,0.04,0.6320337157753411,0.9637602458033007,0.39999999999999997
0.1,0.1,1.0,0.06,0.9285047284255977,0.9457375771237966,0.3
0.1,0.1,2.0,0.06,0.9067706928837292,0.9457375771237966,0.39999999999999997
0.1,0.1,5.0,0.06,0.8304897461225217,0.9457375771237966,0.49999999999999994
0.1,0.1,10.0,0.06,0.7178240099044035,0.9457375771237966,0.5454545454545454
0.1,0.1,100.0,0.06,0.5024888262008262,0.9457375771237966,0.594059405940594
0.1,0.1,1000.0,0.06,0.4810285119263519,0.9457375771237966,0.5994005994005994
0.1,0.1,Inf,0.06,0.47868475218694306,0.9457375771237966,0.6
0.1,0.1,1.0,0.08,0.8868831073038065,0.9277837386399848,0.39999999999999997
0.1,0.1,2.0,0.08,0.8356763719507025,0.9277837386399848,0.5333333333333333
0.1,0.1,5.0,0.08,0.6773441105227249,0.9277837386399848,0.6666666666666666
0.1,0.1,10.0,0.08,0.5186475896321374,0.9277837386399848,0.7272727272727273
0.1,0.1,100.0,0.08,0.3676151806260225,0.9277837386399848,0.792079207920792
0.1,0.1,1000.0,0.08,0.35451827833456695,0.9277837386399848,0.7992007992007991
0.1,0.1,Inf,0.08,0.3530892560306014,0.9277837386399848,0.7999999999999999
0.1,0.1,1.0,0.1,0.8326944471794224,0.9099019513592785,0.5
0.1,0.1,2.0,0.1,0.7392540980118005,0.9099019513592785,0.6666666666666666
0.1,0.1,5.0,0.1,0.49473889679400973,0.9099019513592785,0.8333333333333333
0.1,0.1,10.0,0.1,0.36357788566132543,0.9099019513592785,0.9090909090909091
0.1,0.1,100.0,0.1,0.2677323140543364,0.9099019513592785,0.9900990099009901
0.1,0.1,1000.0,0.1,0.2595782777591986,0.9099019513592785,0.999000999000999
0.1,0.1,Inf,0.1,0.2586874512018422,0.9099019513592785,1.0
0.1,0.1,1.0,0.12,0.7664795359691833,0.8920956084253278,0.6
0.1,0.1,2.0,0.12,0.6193890745998079,0.8920956084253278,0.7999999999999999
0.1,0.1,5.0,0.12,0.3459402662454719,0.8920956084253278,0.9999999999999999
0.1,0.1,10.0,0.12,0.25916298994929776,0.8920956084253278,1.0909090909090908
0.1,0.1,100.0,0.12,0.19876391516692182,0.8920956084253278,1.188118811881188
0.1,0.1,1000.0,0.12,0.19356572757607948,0.8920956084253278,1.1988011988011988
0.1,0.1,Inf,0.12,0.19299657581996743,0.8920956084253278,1.2
0.1,0.1,1.0,0.14,0.6895406590202944,0.874368283772331,0.7000000000000001
0.1,0.1,2.0,0.14,0.4812083910254027,0.874368283772331,0.9333333333333333
0.1,0.1,5.0,0.14,0.24789252319452404,0.874368283772331,1.1666666666666667
0.1,0.1,10.0,0.14,0.19215580592596027,0.874368283772331,1.2727272727272727
0.1,0.1,100.0,0.14,0.15273449152540852,0.874368283772331,1.3861386138613863
0.1,0.1,1000.0,0.14,0.14926973302864266,0.874368283772331,1.3986013986013985
0.1,0.1,Inf,0.14,0.14888944757548295,0.874368283772331,1.4000000000000001
0.1,0.1,1.0,0.16,0.6034791625010767,0.8567237409455183,0.7999999999999999
0.1,0.1,2.0,0.16,0.35262855560953643,0.8567237409455183,1.0666666666666667
0.1,0.1,5.0,0.16,0.1861593517948542,0.8567237409455183,1.3333333333333333
0.1,0.1,10.0,0.16,0.1489544889911676,0.8567237409455183,1.4545454545454546
0.1,0.1,100.0,0.16,0.12176684654877268,0.8567237409455183,1.584158415841584
0.1,0.1,1000.0,0.16,0.11932700876475222,0.8567237409455183,1.5984015984015982
0.1,0.1,Inf,0.16,0.11905862908536369,0.8567237409455183,1.5999999999999999
0.1,0.1,1.0,0.18,0.5104735463727321,0.8391659420284376,0.8999999999999999
0.1,0.1,2.0,0.18,0.26139427600348375,0.8391659420284376,1.2
0.1,0.1,5.0,0.18,0.14638593892029972,0.8391659420284376,1.4999999999999998
0.1,0.1,10.0,0.18,0.12009938842619283,0.8391659420284376,1.636363636363636
0.1,0.1,100.0,0.18,0.1002724963132583,0.8391659420284376,1.782178217821782
0.1,0.1,1000.0,0.18,0.09846200966879692,0.8391659420284376,1.798201798201798
0.1,0.1,Inf,0.18,0.09826250189931707,0.8391659420284376,1.7999999999999998
0.1,0.1,1.0,0.2,0.4149077466182527,0.8216990566028302,1.0
0.1,0.1,2.0,0.2,0.20153418019509328,0.8216990566028302,1.3333333333333333
0.1,0.1,5.0,0.2,0.11954976839290876,0.8216990566028302,1.6666666666666665
0.1,0.1,10.0,0.2,0.099957285495193,0.8216990566028302,1.8181818181818181
0.1,0.1,100.0,0.2,0.08478629078898936,0.8216990566028302,1.9801980198019802
0.1,0.1,1000.0,0.2,0.08338182441723918,0.8216990566028302,1.998001998001998
0.1,0.1,Inf,0.2,0.08322683989422464,0.8216990566028302,2.0
0.1,0.1,1.0,0.22,0.3282960790351356,0.8043274706497561,1.0999999999999999
0.1,0.1,2.0,0.22,0.1617252101233687,0.8043274706497561,1.4666666666666666
0.1,0.1,5.0,0.22,0.1005627696052257,0.8043274706497561,1.8333333333333335
0.1,0.1,10.0,0.22,0.08529707278164977,0.8043274706497561,2.0
0.1,0.1,100.0,0.22,0.07322706129935119,0.8043274706497561,2.178217821782178
0.1,0.1,1000.0,0.22,0.07209763098882804,0.8043274706497561,2.1978021978021975
0.1,0.1,Inf,0.22,0.0719728601523586,0.8043274706497561,2.1999999999999997
0.1,0.1,1.0,0.24,0.26167712610764726,0.7870557952810575,1.2
0.1,0.1,2.0,0.24,0.13414679650665862,0.7870557952810575,1.5999999999999999
0.1,0.1,5.0,0.24,0.08655804747358309,0.7870557952810575,1.9999999999999998
0.1,0.1,10.0,0.24,0.07423415826488655,0.7870557952810575,2.1818181818181817
0.1,0.1,100.0,0.24,0.06432780862852283,0.7870557952810575,2.376237623762376
0.1,0.1,1000.0,0.24,0.06339302305102879,0.7870557952810575,2.3976023976023977
0.1,0.1,Inf,0.24,0.06328965525594299,0.7870557952810575,2.4
0.1,0.1,1.0,0.26,0.21328730111861105,0.7698888751680797,1.3
0.1,0.1,2.0,0.26,0.11420517724433188,0.7698888751680797,1.7333333333333334
0.1,0.1,5.0,0.26,0.07586259643433169,0.7698888751680797,2.1666666666666665
0.1,0.1,10.0,0.26,0.06562903875968973,0.7698888751680797,2.3636363636363633
0.1,0.1,100.0,0.26,0.05729375653641455,0.7698888751680797,2.5742574257425743
0.1,0.1,1000.0,0.26,0.056501931472114575,0.7698888751680797,2.597402597402597
0.1,0.1,Inf,0.26,0.056414312181156,0.7698888751680797,2.6
0.1,0.1,1.0,0.28,0.17815641401428806,0.7528317965096906,1.4000000000000001
0.1,0.1,2.0,0.28,0.09923189872410065,0.7528317965096906,1.8666666666666667
0.1,0.1,5.0,0.28,0.06745638782208307,0.7528317965096906,2.3333333333333335
0.1,0.1,10.0,0.28,0.05876452745559646,0.7528317965096906,2.5454545454545454
0.1,0.1,100.0,0.28,0.05160902607417628,0.7528317965096906,2.7722772277227725
0.1,0.1,1000.0,0.28,0.05092558067524233,0.7528317965096906,2.797202797202797
0.1,0.1,Inf,0.28,0.050849910582564495,0.7528317965096906,2.8000000000000003
0.1,0.1,1.0,0.3,0.15211690960130653,0.7358898943540674,1.4999999999999998
0.1,0.1,2.0,0.3,0.08762838973912468,0.7358898943540674,1.9999999999999998
0.1,0.1,5.0,0.3,0.060690377605538304,0.7358898943540674,2.5
0.1,0.1,10.0,0.3,0.05317167350844243,0.7358898943540674,2.727272727272727
0.1,0.1,100.0,0.3,0.04692753822528317,0.7358898943540674,2.97029702970297
0.1,0.1,1000.0,0.3,0.04632847856224753,0.7358898943540674,2.9970029970029968
0.1,0.1,Inf,0.3,0.04626211921092016,0.7358898943540674,2.9999999999999996
0.1,0.1,1.0,0.32,0.13230424603830748,0.7190687590584988,1.5999999999999999
0.1,0.1,2.0,0.32,0.07839760792574002,0.7190687590584988,2.1333333333333333
0.1,0.1,5.0,0.32,0.05513530531378663,0.7190687590584988,2.6666666666666665
0.1,0.1,10.0,0.32,0.04853307685390018,0.7190687590584988,2.909090909090909
0.1,0.1,100.0,0.32,0.04300998482232654,0.7190687590584988,3.168316831683168
0.1,0.1,1000.0,0.32,0.042478132809523506,0.7190687590584988,3.1968031968031965
0.1,0.1,Inf,0.32,0.042419193682788014,0.7190687590584988,3.1999999999999997
0.1,0.1,1.0,0.34,0.11684047386981611,0.7023742416388575,1.7
0.1,0.1,2.0,0.34,0.07089254136793188,0.7023742416388575,2.2666666666666666
0.1,0.1,5.0,0.34,0.05049744380875043,0.7023742416388575,2.8333333333333335
0.1,0.1,10.0,0.34,0.044627254391110704,0.7023742416388575,3.0909090909090913
0.1,0.1,100.0,0.34,0.039686336232220176,0.7023742416388575,3.366336633663366
0.1,0.1,1000.0,0.34,0.03920905448740364,0.7023742416388575,3.396603396603396
0.1,0.1,Inf,0.34,0.03915614374734011,0.7023742416388575,3.4
0.1,0.1,1.0,0.36,0.1044919835866166,0.6858124577258358,1.7999999999999998
0.1,0.1,2.0,0.36,0.064677947266223,0.6858124577258358,2.4
0.1,0.1,5.0,0.36,0.04656974880013964,0.6858124577258358,2.9999999999999996
0.1,0.1,10.0,0.36,0.04129545494743547,0.6858124577258358,3.272727272727272
0.1,0.1,100.0,0.36,0.03683283915957225,0.6858124577258358,3.564356435643564
0.1,0.1,1000.0,0.36,0.03640060829462444,0.6858124577258358,3.596403596403596
