rho,delta,beta,alpha,mmse,mse_ridge_opt,alpha_LR
0.05,0.1,Inf,0.0,1.0,1.0,0.0
0.05,0.1,Inf,0.001,0.9809591897841182,0.9990909842783086,0.02
0.05,0.1,Inf,0.002,0.9620203700714193,0.9981821191553855,0.04
0.05,0.1,Inf,0.003,0.9431863339394896,0.9972734049678428,0.06
0.05,0.1,Inf,0.004,0.9244600185908786,0.9963648420531718,0.08
0.05,0.1,Inf,0.005,0.9058445123176354,0.9954564307497449,0.09999999999999999
0.05,0.1,Inf,0.006,0.8873430616113537,0.9945481713968187,0.12
0.05,0.1,Inf,0.007,0.8689590783435898,0.9936400643345358,0.13999999999999999
0.05,0.1,Inf,0.008,0.8506961469686041,0.9927321099039272,0.16
0.05,0.1,Inf,0.009,0.8325580316737238,0.991824308446915,0.17999999999999997
0.05,0.1,Inf,0.01,0.8145486833938212,0.9909166603063145,0.19999999999999998
0.05,0.1,Inf,0.011,0.7966722465881785,0.9900091658258365,0.21999999999999997
0.05,0.1,Inf,0.012,0.7789330656584056,0.98910182535009,0.24
0.05,0.1,Inf,0.013,0.7613356908663963,0.9881946392245843,0.25999999999999995
0.05,0.1,Inf,0.014,0.7438848835887171,0.9872876077957314,0.27999999999999997
0.05,0.1,Inf,0.015,0.7265856207183798,0.9863807314108489,0.3
0.05,0.1,Inf,0.016,0.7094430979991326,0.9854740104181616,0.32
0.05,0.1,Inf,0.017,0.6924627320501489,0.9845674451668043,0.34
0.05,0.1,Inf,0.018,0.6756501608099978,0.9836610360068244,0.35999999999999993
0.05,0.1,Inf,0.019,0.6590112421019998,0.9827547832891841,0.37999999999999995
0.05,0.1,Inf,0.02,0.6425520499950972,0.9818486873657627,0.39999999999999997
0.05,0.1,Inf,0.021,0.6262788686119511,0.9809427485893591,0.42
0.05,0.1,Inf,0.022,0.6101981830149605,0.9800369673136947,0.43999999999999995
0.05,0.1,Inf,0.023,0.5943166667894579,0.979131343893415,0.45999999999999996
0.05,0.1,Inf,0.024,0.5786411659387569,0.9782258786840926,0.48
0.05,0.1,Inf,0.025,0.5631786787137223,0.9773205720422296,0.5
0.05,0.1,Inf,0.026,0.5479363310229746,0.9764154243252597,0.5199999999999999
0.05,0.1,Inf,0.027,0.5329213471096514,0.9755104358915512,0.5399999999999999
0.05,0.1,Inf,0.028,0.5181410152424587,0.9746056071004089,0.5599999999999999
0.05,0.1,Inf,0.029,0.5036026482534941,0.9737009383120769,0.58
0.05,0.1,Inf,0.03,0.4893135388648199,0.9727964298877411,0.6
0.05,0.1,Inf,0.031,0.47528090988221294,0.9718920821895314,0.62
0.05,0.1,Inf,0.032,0.4615118594951034,0.9709878955805242,0.64
0.05,0.1,Inf,0.033,0.44801330210606394,0.9700838704247454,0.66
0.05,0.1,Inf,0.034,0.4347919053148537,0.9691800070871722,0.68
0.05,0.1,Inf,0.035,0.42185402389453874,0.9682763059337357,0.7000000000000001
0.05,0.1,Inf,0.036,0.4092056318110815,0.967372767331324,0.7199999999999999
0.05,0.1,Inf,0.037,0.3968522535402256,0.9664693916477839,0.7399999999999999
0.05,0.1,Inf,0.038,0.38479889611436635,0.9655661792519239,0.7599999999999999
0.05,0.1,Inf,0.039,0.3730499834714792,0.9646631305135165,0.7799999999999999
0.05,0.1,Inf,0.04,0.3616092947655587,0.9637602458033007,0.7999999999999999
0.05,0.1,Inf,0.041,0.35047990831972053,0.9628575254929849,0.82
0.05,0.1,Inf,0.042,0.33966415285134,0.9619549699552487,0.84
0.05,0.1,Inf,0.043,0.3291635674676021,0.961052579563746,0.8599999999999999
0.05,0.1,Inf,0.044,0.3189788717210946,0.9601503546931074,0.8799999999999999
0.05,0.1,Inf,0.045,0.30910994673535874,0.9592482957189425,0.8999999999999999
0.05,0.1,Inf,0.046,0.2995558280721994,0.958346403017843,0.9199999999999999
0.05,0.1,Inf,0.047,0.29031471063420944,0.9574446769673842,0.94
0.05,0.1,Inf,0.048,0.2813839654987659,0.9565431179461289,0.96
0.05,0.1,Inf,0.049,0.2727601681874089,0.9556417263336286,0.98
0.05,0.1,Inf,0.05,0.2644391375095695,0.9547405025104273,1.0
0.05,0.1,Inf,0.051,0.25641598380320607,0.9538394468580629,1.0199999999999998
0.05,0.1,Inf,0.052,0.2486851651429789,0.9529385597590707,1.0399999999999998
0.05,0.1,Inf,0.053,0.2412405499101381,0.9520378415969853,1.0599999999999998
0.05,0.1,Inf,0.054,0.2340754840220043,0.9511372927563438,1.0799999999999998
0.05,0.1,Inf,0.055,0.22718286110172947,0.9502369136226876,1.0999999999999999
0.05,0.1,Inf,0.056,0.2205551939239151,0.9493367045825656,1.1199999999999999
0.05,0.1,Inf,0.057,0.21418468558862636,0.9484366660235365,1.14
0.05,0.1,Inf,0.058,0.20806329904118037,0.9475367983341715,1.16
0.05,0.1,Inf,0.059,0.2021828237539347,0.9466371019040569,1.18
0.05,0.1,Inf,0.06,0.1965349386037264,0.9457375771237966,1.2
0.05,0.1,Inf,0.061,0.1911112702018889,0.9448382243850146,1.22
0.05,0.1,Inf,0.062,0.18590344615110288,0.943939044080358,1.24
0.05,0.1,Inf,0.063,0.18090314290561382,0.9430400366034989,1.26
0.05,0.1,Inf,0.064,0.17610212809237913,0.942141202349138,1.28
0.05,0.1,Inf,0.065,0.17149229730636883,0.9412425417130061,1.3
0.05,0.1,Inf,0.066,0.16706570552143807,0.9403440550918678,1.32
0.05,0.1,Inf,0.067,0.16281459335960102,0.9394457428835232,1.34
0.05,0.1,Inf,0.068,0.1587314085367577,0.9385476054868112,1.36
0.05,0.1,Inf,0.069,0.1548088228549469,0.9376496433016114,1.3800000000000001
0.05,0.1,Inf,0.07,0.151039745142591,0.9367518567288476,1.4000000000000001
0.05,0.1,Inf,0.071,0.14741733055839268,0.9358542461704901,1.4199999999999997
0.05,0.1,Inf,0.072,0.1439349866746018,0.9349568120295578,1.4399999999999997
0.05,0.1,Inf,0.073,0.14058637674457652,0.9340595547101216,1.4599999999999997
0.05,0.1,Inf,0.074,0.13736542054045842,0.9331624746173065,1.4799999999999998
0.05,0.1,Inf,0.075,0.13426629312211058,0.9322655721572948,1.4999999999999998
0.05,0.1,Inf,0.076,0.13128342186999997,0.9313688477373282,1.5199999999999998
0.05,0.1,Inf,0.077,0.12841148208439734,0.9304723017657108,1.5399999999999998
0.05,0.1,Inf,0.078,0.1256453914222896,0.9295759346518117,1.5599999999999998
0.05,0.1,Inf,0.079,0.1229803034128526,0.9286797468060672,1.5799999999999998
0.05,0.1,Inf,0.08,0.12041160026297804,0.9277837386399848,1.5999999999999999
0.05,0.1,Inf,0.081,0.11793488513667749,0.9268879105661438,1.6199999999999999
0.05,0.1,Inf,0.082,0.1155459740665542,0.9259922629982,1.64
0.05,0.1,Inf,0.083,0.1132408876320915,0.9250967963508872,1.66
0.05,0.1,Inf,0.084,0.11101584251843732,0.9242015110400201,1.68
