alpha,q,fe
0.35,0.9999,-1.5209625009720766
0.35,0.9998795799434764,-1.4836669581575135
0.35,0.9998549900998686,-1.445517194816314
0.35,0.999825378996297,-1.4083576344091209
0.35,0.9997897212886387,-1.371452189549532
0.35,0.9997467822569217,-1.3341648416255918
0.35,0.9996950750506575,-1.2962333017131065
0.35,0.9996328092036472,-1.2599977660605899
0.35,0.9995578286354826,-1.2275730063835633
0.35,0.999467536992917,-1.1887311654835289
0.35,0.9993588077459036,-1.1499509863072777
0.35,0.9992278759251922,-1.1099215305614687
0.35,0.9990702077526843,-1.074319034231431
0.35,0.9988803436502306,-1.0374584523739774
0.35,0.9986517091907379,-1.0005846226174753
0.35,0.9983763874453843,-0.9633395815937179
0.35,0.9980448448440078,-0.926214275361957
0.35,0.9976456010560306,-0.8873297341902486
0.35,0.9971648314608815,-0.8520556123878307
0.35,0.9965858884426547,-0.8155380648852146
0.35,0.9958887249328668,-0.7792892842610221
0.35,0.9950492002403184,-0.7421270659916988
0.35,0.9940382441310223,-0.7055651835695944
0.35,0.9928208502127792,-0.6689342811170357
0.35,0.9913548637683164,-0.632567916860828
0.35,0.9895895220632662,-0.5965870381739644
0.35,0.9874636965842105,-0.5603407506394629
0.35,0.9849037763407389,-0.523823453491195
0.35,0.981821118936592,-0.4901326791448183
0.35,0.9781089811480899,-0.4534516388620353
0.35,0.9736388227249426,-0.4182290683114151
0.35,0.9682558554250951,-0.38560909214641775
0.35,0.9617736831599729,-0.3510552468340188
0.35,0.9539678476543572,-0.31875823423855737
0.35,0.944568056126357,-0.28728142767122944
0.35,0.9332488218552406,-0.2572632952872272
0.35,0.9196181935479261,-0.2282620626619994
0.35,0.9032041832357389,-0.20140588537385748
0.35,0.8834384227400172,-0.17621205409842067
0.35,0.8596364827787537,-0.15236757652536406
0.35,0.8309741732236922,-0.12958842657742198
0.35,0.7964590038565238,-0.11458287933845221
0.35,0.7548958173953708,-0.09918239187266371
0.35,0.7048454047658499,-0.08669663014258239
0.35,0.6445746695870965,-0.07721181840044773
0.35,0.5719966162176653,-0.07087383186588789
0.35,0.4845980833264829,-0.06774693093748715
0.35,0.3793527206181426,-0.06727722782315473
0.35,0.25261619535631386,-0.06975147978112753
0.35,0.09999999999999998,-0.07658959556144557
0.35,0.0,-0.08108438604290719
0.7,0.9999,-0.10755954383717148
0.7,0.9998795799434764,-0.10493452646836032
0.7,0.9998549900998686,-0.09987831401574265
