alpha,q,fe
0.5,0.9999,-1.7853524220731651
0.5,0.9998795799434764,-1.7388995995409546
0.5,0.9998549900998686,-1.6925223618341745
0.5,0.999825378996297,-1.646121478309057
0.5,0.9997897212886387,-1.5999353705025077
0.5,0.9997467822569217,-1.553468973201787
0.5,0.9996950750506575,-1.5070293387467837
0.5,0.9996328092036472,-1.4607953961251867
0.5,0.9995578286354826,-1.4147660054822548
0.5,0.999467536992917,-1.3686772046282007
0.5,0.9993588077459036,-1.3225676250560308
0.5,0.9992278759251922,-1.2762990933350606
0.5,0.9990702077526843,-1.2302595180794054
0.5,0.9988803436502306,-1.1848506194739516
0.5,0.9986517091907379,-1.138735746796571
0.5,0.9983763874453843,-1.0932967258185968
0.5,0.9980448448440078,-1.0474087880832441
0.5,0.9976456010560306,-1.0020112181033372
0.5,0.9971648314608815,-0.9564267397699847
0.5,0.9965858884426547,-0.9117788016685882
0.5,0.9958887249328668,-0.866909634371297
0.5,0.9950492002403184,-0.8224189927770429
0.5,0.9940382441310223,-0.7783940313009033
0.5,0.9928208502127792,-0.7346158385249106
0.5,0.9913548637683164,-0.691233292179161
0.5,0.9895895220632662,-0.6484189425004512
0.5,0.9874636965842105,-0.6061223040351136
0.5,0.9849037763407389,-0.5644551011417946
0.5,0.981821118936592,-0.5234262065168644
0.5,0.9781089811480899,-0.4833648840124223
0.5,0.9736388227249426,-0.44479815997765637
0.5,0.9682558554250951,-0.4064349167287894
0.5,0.9617736831599729,-0.3698058576674189
0.5,0.9539678476543572,-0.33430088769190003
0.5,0.944568056126357,-0.30052580082912383
0.5,0.9332488218552406,-0.2684777781419053
0.5,0.9196181935479261,-0.2380680090765458
0.5,0.9032041832357389,-0.21067280995915083
0.5,0.8834384227400172,-0.18495242507273188
0.5,0.8596364827787537,-0.16186783950394887
0.5,0.8309741732236922,-0.14162675120842746
0.5,0.7964590038565238,-0.12463693782344269
0.5,0.7548958173953708,-0.11090040841190855
0.5,0.7048454047658499,-0.10030569939235173
0.5,0.6445746695870965,-0.09319534722637118
0.5,0.5719966162176653,-0.09034545901688754
0.5,0.4845980833264829,-0.08821619866355754
0.5,0.3793527206181426,-0.09512776490335122
0.5,0.25261619535631386,-0.10350492167930786
0.5,0.09999999999999998,-0.11621176778249018
0.5,0.0,-0.12418529978462464
0.95,0.9999,0.11529781268567826
0.95,0.9998795799434764,0.1199442776228668
0.95,0.9998549900998686,0.12427506786692569
0.95,0.999825378996297,0.12889561346336478
0.95,0.9997897212886387,0.13353814209433168
0.95,0.9997467822569217,0.13813363637662168
0.95,0.9996950750506575,0.1426959601075859
0.95,0.9996328092036472,0.14724593286446694
0.95,0.9995578286354826,0.15178718978311576
0.95,0.999467536992917,0.15636197135813498
0.95,0.9993588077459036,0.16093587606479867
0.95,0.9992278759251922,0.16517304487894324
0.95,0.9990702077526843,0.16970839670949478
0.95,0.9988803436502306,0.17374089507068521
0.95,0.9986517091907379,0.17818404499499146
0.95,0.9983763874453843,0.18254613321468033
0.95,0.9980448448440078,0.1866350071718892
0.95,0.9976456010560306,0.19020059781748005
0.95,0.9971648314608815,0.19416916551084937
0.95,0.9965858884426547,0.1982848604397223
0.95,0.9958887249328668,0.2020095398658613
0.95,0.9950492002403184,0.20593919415062123
0.95,0.9940382441310223,0.20899703857691343
0.95,0.9928208502127792,0.21186533519741052
0.95,0.9913548637683164,0.2148238992484216
0.95,0.9895895220632662,0.2171655435492002
0.95,0.9874636965842105,0.2193575576817606
0.95,0.9849037763407389,0.22134124416052292
0.95,0.981821118936592,0.22231355778073736
0.95,0.9781089811480899,0.22307125937832945
0.95,0.9736388227249426,0.22323270234737858
0.95,0.9682558554250951,0.2227699589084745
0.95,0.9617736831599729,0.2214966940792908
0.95,0.9539678476543572,0.21911144276971267
0.95,0.944568056126357,0.2157308509159352
0.95,0.9332488218552406,0.21129465604840664
0.95,0.9196181935479261,0.2054510185463428
0.95,0.9032041832357389,0.19818433385359815
0.95,0.8834384227400172,0.18927606381750306
0.95,0.8596364827787537,0.17827309160137503
0.95,0.8309741732236922,0.16560132084655776
0.95,0.7964590038565238,0.15034474096939068
0.95,0.7548958173953708,0.13280328512780606
