rho,beta,alpha_BO,alpha_MNNE,alpha_LR_BO,alpha_LR_MNNE
0.0,1,0.0,0.0,1.0,3.0
0.001,1,0.0019990000000000003,0.005538276805190061,0.9995000000000002,2.7691384025950305
0.002,1,0.003996,0.010796935773649796,0.9990000000000001,2.699233943412449
0.003,1,0.005991000000000001,0.01589635490057663,0.9985,2.649392483429438
0.004,1,0.007984,0.02087495362565319,0.998,2.609369203206649
0.005,1,0.009975000000000001,0.025753853484692855,0.9975,2.5753853484692857
0.006,1,0.011964,0.030546803045834806,0.997,2.545566920486234
0.007,1,0.013951000000000002,0.03526361180455146,0.9965,2.5188294146108183
0.008,1,0.015936,0.039911701317147205,0.9959999999999999,2.4944813323217003
0.009,1,0.017919,0.044496921140201984,0.9955000000000002,2.472051174455666
0.01,1,0.0199,0.04902402363863757,0.995,2.4512011819318786
0.011,1,0.021879,0.05349696107557804,0.9945,2.431680048889911
0.012,1,0.023856,0.05791908199769889,0.9939999999999999,2.413295083237454
0.013,1,0.025831,0.062293266774382884,0.9935,2.3958948759378034
0.014,1,0.027804,0.06662202445908705,0.993,2.379358016395966
0.015,1,0.029775,0.07090756402952096,0.9925,2.3635854676506987
0.016,1,0.031744,0.07515184806494457,0.992,2.348495252029518
0.017,1,0.033711000000000005,0.07935663403176282,0.9915,2.334018647993024
0.018,1,0.035676,0.0835235066073326,0.9910000000000001,2.320097405759239
0.019,1,0.037639,0.08765390338238349,0.9905,2.30668166795746
0.02,1,0.0396,0.09174913557887245,0.9900000000000001,2.293728389471811
0.021,1,0.041559000000000006,0.09581040495301785,0.9895,2.281200117928996
0.022,1,0.043516,0.0998388177355887,0.989,2.269064039445198
0.023,1,0.045471000000000004,0.10383539624080129,0.9885000000000002,2.2572912226261153
0.024,1,0.047424,0.1078010886188013,0.988,2.245856012891694
0.025,1,0.049375,0.11173677711404628,0.9875,2.2347355422809256
0.026,1,0.051323999999999995,0.11564328510941928,0.987,2.2239093290272938
0.027,1,0.053271,0.11952138317468791,0.9865,2.213358947679406
0.028,1,0.055216,0.12337179429186461,0.986,2.203067755211868
0.029,1,0.05715900000000001,0.12719519839500437,0.9855,2.193020661982834
0.03,1,0.0591,0.13099223633500695,0.985,2.1832039389167828
0.031,1,0.061039,0.13476351335905984,0.9845,2.1736050541783847
0.032,1,0.062976,0.1385096021779225,0.9840000000000001,2.164212534030039
0.033,1,0.06491100000000001,0.14223104568126999,0.9835000000000002,2.155015843655606
0.034,1,0.066844,0.14592835935094195,0.983,2.1460052845726754
0.035,1,0.068775,0.14960203341362788,0.9824999999999999,2.1371719059089695
0.036,1,0.07070399999999999,0.15325253476777062,0.9819999999999999,2.1285074273301476
0.037,1,0.072631,0.1568803087140041,0.9815,2.120004171810866
0.038,1,0.074556,0.1604857805139257,0.981,2.1116550067621804
0.039,1,0.076479,0.16406935679831636,0.9805,2.1034532922861073
0.04,1,0.0784,0.16763142684283172,0.98,2.0953928355353963
0.041,1,0.080319,0.17117236372665398,0.9794999999999999,2.0874678503250483
0.042,1,0.082236,0.1746925253874286,0.979,2.079672921278912
0.043,1,0.08415099999999999,0.17819225558401727,0.9784999999999999,2.0720029719071777
0.044,1,0.08606399999999999,0.18167188477709656,0.9779999999999999,2.06445323610337
0.045,1,0.087975,0.1851317309363033,0.9775,2.0570192326255925
0.046,1,0.08988399999999999,0.18857210028155708,0.977,2.0496967421908376
0.047,1,0.091791,0.1919932879652455,0.9764999999999999,2.0424817868643137
0.048,1,0.093696,0.19539557870114538,0.976,2.035370611470264
0.049,1,0.095599,0.19877924734526037,0.9755,2.028359666788371
0.05,1,0.0975,0.20214455943315665,0.975,2.0214455943315666
0.051,1,0.099399,0.20549177167786492,0.9745,2.0146252125280877
0.052,1,0.101296,0.2088211324319535,0.974,2.007895504153399
0.053,1,0.103191,0.21213288211698927,0.9735,2.0012536048772573
0.054,1,0.105084,0.21542725362326895,0.973,1.994696792808046
0.055,1,0.106975,0.21870447268237603,0.9725,1.9882224789306913
0.056,1,0.108864,0.22196475821488512,0.972,1.9818281983471886
0.057,1,0.110751,0.22520832265527646,0.9715,1.9755116022392671
0.058,1,0.112636,0.22843537225593252,0.971,1.9692704504821767
0.059,1,0.114519,0.2316461073718981,0.9705,1.9631026048465943
0.06,1,0.11639999999999999,0.23484072272792475,0.97,1.9570060227327064
0.061,1,0.118279,0.23801940766918556,0.9695,1.950978751386767
0.062,1,0.120156,0.2411823463968989,0.969,1.9450189225556362
0.063,1,0.122031,0.24432971819000898,0.9685,1.9391247475397537
0.064,1,0.123904,0.24746169761394748,0.968,1.9332945126089647
0.065,1,0.125775,0.25057845471742707,0.9674999999999999,1.927526574749439
0.066,1,0.127644,0.2536801552181155,0.967,1.921819357712996
0.067,1,0.12951100000000001,0.25676696067799193,0.9665,1.9161713483432232
0.068,1,0.131376,0.25983902866909164,0.9659999999999999,1.9105810931550855
0.069,1,0.13323900000000002,0.26289651293030025,0.9655000000000001,1.905047195147103
0.07,1,0.1351,0.26593956351581716,0.9649999999999999,1.8995683108272652
0.071,1,0.136959,0.2689683269358221,0.9645,1.8941431474353672
0.072,1,0.138816,0.27198294628987674,0.9640000000000001,1.8887704603463664
